item_id,display_name,Weight,Description,Dropped By,Comment,Item Script,Compound On,Class,Defense,Required Lvl,Refineable,Applicable Job,Attack,Property,Weapon Lvl
5226,Advanced Mini Propeller,20,"A headgear topped with a fashionably experimental propeller. AGI + 2, DEX + 1, Flee Rate + 10 Reduce Casting Time by Refine Rate %. (All transfer methods except Kafra Storage are locked)",,,"{ bonus bAgi,2; bonus bDex,1; bonus bFlee,10; bonus bCastrate,-getrefine(); }",,Upper Head,2,0,Yes,,,,
29541,Advanced Rod,10,Advanced Rod Decent Rod made out of a Dead Branch. Let's hope you don't break it. Allows you to use fishing level 3.,,,{ if(isequipped(29538)) { } },,Accessory,0,20,No,"Novice, Swordsman, Mage, Archer, Acolyte, Merchant, Thief, Knight, Priest, Wizard, Blacksmith, Hunter, Assassin, Crusader, Monk, Sage, Rogue, Alchemist, Bard/Dancer, Soul Linker, Gunslinger, Ninja",,,
11001,Adventure Story Vol.1,0,"A new novel from best selling author, Mihir.",,,,,,,,,,,,
11009,Adventure Story Vol.2,0,"Volume two of the Assassin adventure series written by Mihir, a popular fiction author.",,,,,,,,,,,,
2305,Adventurer's Suit,30,"A light, comfortable suit made just for young adventurers.",Munak (50%),,{  },,Armor,3,0,Yes,,,,
2306,Adventurer's Suit [1],30,"A light, comfortable suit made just for young adventurers.",Baby Desert Wolf (40%) Wickebine Tres (20%),,{  },,Armor,3,0,Yes,,,,
2776,Adventurer's Trusty Towel,10,A cool towel which wipes the sweat from your body.,,,{  },,Accessory,0,0,No,,,,
2348,Aebeccee's Raging Typhoon Armor,220,An armor that is enchanted with the Wind Property.,Bring it on! (100%) Galion (5%),,"{ bonus bDefEle,Ele_Wind; }",,Armor,4,45,Yes,,,,
2349,Aebeccee's Raging Typhoon Armor [1],220,An armor that is enchanted with the Wind Property.,Stormy Knight (2.5%),,"{ bonus bDefEle,Ele_Wind; }",,Armor,4,45,Yes,,,,
5011,Aerial,10,"A mysterious object, possibly a device, that was discovered in the depths of the ocean. Nobody knows what it is.",Deviace (1%),,{  },,Upper Head,3,0,Yes,,,,
5474,AFK Hat,70,"-Away From Keyboard- A hat doesn't mean a thing in front of the keyboard. When away, the right to tell friends!",,,{  },,Upper Head,2,10,Yes,,,,
10033,Afro,0,Hairstyle that had huge sensation. It's for outstanding.,,,{  },,,0,0,No,,,,
5258,Afro Wig [1],10,"A fluffy afro style wig which is something teenagers go crazy for. Once you wear it, you might want to dance. Add a 30% chance of auto casting First Aid on the user when the user receives Physical Damage. Increase resistance to Neutral Property attacks by 1%.",,,"{ bonus3 bAutoSpellWhenHit,""NV_FIRSTAID"",1,30; bonus2 bSubEle,Ele_Neutral,1; }",,"Upper Head, Mid Head",0,10,Yes,,,,
7291,Agate,10,A very hard stone which is used to make jewelry. Symbolizes protection and stability.,Entweihen Crothen (100%) Arc Angeling (75%),,,,,,,,,,,
4409,Agav Card,,"MATK + 5%, DEF - 10 [Mage Class] SP + 100",Agav (0.5%),,"{ bonus bMatkRate,5; bonus bDef,-10; if (BaseClass == Job_Mage) bonus bMaxSP,100; }",Armor,,,,,,,,
4730,AGI+1,,AGI + 1,,,"{ bonus bAgi,1; }",Armor,,,,,,,,
4739,AGI+10,,AGI + 10,,,"{ bonus bAgi,10; }",Armor,,,,,,,,
4731,AGI+2,,AGI + 2,,,"{ bonus bAgi,2; }",Armor,,,,,,,,
4732,AGI+3,,AGI + 3,,,"{ bonus bAgi,3; }",Armor,,,,,,,,
4733,AGI+4,,AGI + 4,,,"{ bonus bAgi,4; }",Armor,,,,,,,,
4734,AGI+5,,AGI + 5,,,"{ bonus bAgi,5; }",Armor,,,,,,,,
4735,AGI+6,,AGI + 6,,,"{ bonus bAgi,6; }",Armor,,,,,,,,
4736,AGI+7,,AGI + 7,,,"{ bonus bAgi,7; }",Armor,,,,,,,,
4737,AGI+8,,AGI + 8,,,"{ bonus bAgi,8; }",Armor,,,,,,,,
4738,AGI+9,,AGI + 9,,,"{ bonus bAgi,9; }",Armor,,,,,,,,
1478,Ahlspiess,100,Auger shaped spear that is effective at attacking enemy's weak points. Ignores DEF of the target. Add a 3% chance of auto casting Level 5 Pierce on the enemy when attacking. Increases damage done against DemiHuman monster by 10%.,Mini Demon (2.5%),,"{ bonus bIgnoreDefRace,RC_NonBoss; bonus bIgnoreDefRace,RC_Boss; bonus2 bAddRace,RC_DemiHuman,10; bonus3 bAutoSpell,""KN_PIERCE"",5,30; }",,Two-Handed Spear,,65,Yes,,120,Neutral,4
2199,Ahura Mazdah,1,The Shield of all Shields,,,"{ bonus bAllStats,50; bonus bMdef,99; bonus bShortWeaponDamageReturn,100; bonus2 bSubRace,RC_DemiHuman,95; skill ""CR_FULLPROTECTION"",5; }",,Shield,100,1,Yes,,,,
2448,Air Boss,50,... ... AGI + 1,,,"{ bonus bAgi,1; }",,Footgear,2,0,Yes,,,,
4244,Alarm Card,,Maximum HP + 2500 VIT + 1 Add a 20% chance of auto casting Level 1 Sight around the user when the user receives Physical Damage. [Clock Tower Manager & Clock & Punk Card Combo],Alarm (0.5%),,"{ bonus3 bAutoSpellWhenHit,""MG_SIGHT"",1,200; bonus bMaxHP,2500; bonus bVit,1; }",Footgear,,,,,,,,
5086,Alarm Mask,10,A mask which resembles the face of an Alarm monster. Adds 50% resistance against Blind,,,"{ bonus2 bResEff,Eff_Blind,5000; }",,"Lower Head, Mid Head",2,0,No,,,,
20257,Alarm Mask [1],10,A mask which resembles the face of an Alarm monster. All stats +1.,,,"{ bonus bAllStats,1; }",,Mid Head,0,75,No,,,,
1191,Alcabringer,340,A wide bladed two hand sword that shines with red light. Every 2 refines + 1 ASPD.,Queen Scaraba (5%),,"{ bonus bAspd,getrefine()/2; }",,Two-Handed Sword,,100,Yes,,280,Neutral,3
29562,Alchemy Dagger [1],1,"A dagger which has been dipped in the blood of a Soul Linker named Noor. Allows the user to use the Twilight Alchemy skills, without the need for Alchemist Link. Attack : 1",,,"{ skill ""AM_TWILIGHT1"",1; skill ""AM_TWILIGHT2"",1; skill ""AM_TWILIGHT3"",1; skill ""AM_TWILIGHT4"",1; skill ""AM_TWILIGHT5"",1; skill ""AM_TWILIGHT6"",1; }",,Dagger,,55,No,,1,Neutral,4
20563,Alchemy Ring [1],50,Ring of Alchemy Potions. Increase effectiveness of Potion Pitcher by 15%.,,,"{ bonus2 bSkillHeal,""AM_POTIONPITCHER"",15; }",,Lower Head,1,75,No,,,,
20567,Alchemy Ring [1],50,,,,{  },,Lower Head,1,1,No,,,,
970,Alcohol,3,This colorless liquid is the secret behind the addictiveness of beers and wine. 200 Proof. [ eRO Quest Item ],Toad (50%) Black Mushroom (25%) Horong (25%) Red Mushroom (25%) Kaho (2.5%) Plankton (2%),,,,,,,,,,,
7127,Alcohol Creation Guide,1,A book with instructions for creating Alcohol.,,,,,,,,,,,,
4253,Alice Card,,Receive 40% less damage from Boss monster. Receive 40% more damage from normal monster. Maximum HP decreases by 40 per refine rate.,Alice (0.5%),,"{ bonus2 bSubRace,RC_Boss,40; bonus2 bSubRace,RC_NonBoss,-40; }",Shield,,,,,,,,
5137,Alice Doll [1],50,"A doll made to resemble Alice. It feels like it's saying ""May the force be with you, master!"", ""Go get em' tiger!"" on the top of your head. Increase damage on DemiHuman monster by 10%. Inflict the Sleep status on yourself by a low chance. STR + 1 Impossible to refine this item.",Alice (1%),,"{ bonus bStr,1; bonus2 bAddRace,RC_DemiHuman,10; bonus2 bAddEff2,Eff_Sleep,10; }",,Upper Head,0,30,No,,,,
9027,Alice Egg,0,An egg in which an Alice Cute Pet rests. Can be hatched by using a Pet Incubator.,,,,,,,,,,,,
6185,Alice Exchange Ticket,1,A cute pet Alice tickets.,,,,,,,,,,,,
12278,Alice Summon Scroll Level 1,10,A book that can summon a monster Alice as a Mercenary. Don't give her overwork. Mercenary disappears when its owner has drained all energy.,,,"{ mercenary_create 1275,1800000; }",,,,,,,,,
7047,Alice's Apron,1,An apron worn by the Alice monster. [ eRO Quest Item ],Alice (100%) Aliza (2.5%),,,,,,,,,,,
4401,Alicel Card,,Flee Rate + 10 DEF - 5,Alicel (0.5%),,"{ bonus bFlee,10; bonus bDef,-5; }",Armor,,,,,,,,
30080,Alicel Pokeball,0,A Pokeball in which an Alicel Cute Pet rests. Can be hatched by using a Pet Incubator.,,,,,,,,,,,,
4402,Aliot Card,,"[Swordman, Merchant, Thief, Taekwon, Star Gladiator Class] STR + 2, Maximum HP + 5% [Mage, Acolyte, Archer, Gunslinger, Soul Linker, Ninja Class] INT + 2, Maximum SP + 5% [Super Novice] If STR > INT, STR + 2, Maximum HP + 5%, otherwise INT + 2, Maximum SP + 5%",Aliot (0.5%),,"{ if(BaseClass==Job_Swordman||BaseClass==Job_Merchant||BaseClass==Job_Thief||Class==Job_Taekwon||Class==Job_Star_Gladiator) { bonus bStr,2; bonus bMaxHPrate,5; } if(BaseClass==Job_Mage||BaseClass==Job_Archer||BaseClass==Job_Acolyte||Class==Job_Gunslinger||Class==Job_Soul_Linker||Class==Job_Ninja) { bonus bInt,2; bonus bMaxSPrate,5; } if (Class==Job_SuperNovice) { if (readparam(bStr) > readparam(bInt)) { bonus bStr,2; bonus bMaxHPrate,5; } else { bonus bInt,2; bonus bMaxSPrate,5; } } }",Garment,,,,,,,,
30127,Aliot Pokeball,0,A Pokeball in which an Aliot Cute Pet rests. Can be hatched by using a Pet Incubator.,,,,,,,,,,,,
4400,Aliza Card,,"Add a 5% chance of auto casting Wink of Charm on an enemy when the user receives Physical Damage. [Dancer, Gypsy] Auto cast chance increases to 10%.",Aliza (0.5%),,"{ bonus3 bAutoSpellWhenHit,""DC_WINKCHARM"",1,50+50*(BaseJob == Job_Dancer); }",Armor,,,,,,,,
20534,Aliza Doll [1],50,Drooping Aliza Doll. Small chance to autocast Wink of Charm when hit with a Physical attack.,Aliza (0.5%),,"{ bonus3 bAutoSpellWhenHit,""DC_WINKCHARM"",1,10; }",,Upper Head,2,1,Yes,,,,
30001,Aliza Pokeball,0,A Pokeball in which an Aliza Cute Pet rests. Can be hatched by using a Pet Incubator.,,,,,,,,,,,,
2741,All In One Ring,0,A Jewelry Ring that contains a 3 Seal Magic Spell. Enables use of Level 1 Heal and Level 1 Teleport. Casting cannot be interrupted. ALL STATUS + 1. Increases casting time by 10%.,,,"{ bonus bAllStats,1; bonus bNoCastCancel,0; bonus bCastRate,10; skill ""AL_HEAL"",1; skill ""AL_TELEPORT"",1; }",,Accessory,0,0,No,,,,
4252,Alligator Card,,Receive 5% less damage from Long Range Physical attack. [Cruiser & Anolian & Merman & Dragon Tail Card Combo],Alligator (0.5%),,"{ bonus bLongAtkDef,5; }",Accessory,,,,,,,,
30079,Alligator Pokeball,0,A Pokeball in which an Alligator Cute Pet rests. Can be hatched by using a Pet Incubator.,,,,,,,,,,,,
7508,Allysia's Ring,0,The engagement ring that belonged to Allysia.,,,,,,,,,,,,
704,Aloe,1,A rare plant with curative properties that only grows deep in the forest during certain times of the year. [ eRO Quest Item ],Green Plant (25%) Flora (5%),,,,,,,,,,,
521,Aloe Leaflet,2,Leaf cut from an Aloe plant. Recovers a suitable amount of HP. [ eRO Quest Item ],Les (100%) Hermit Plant (100%) Kraben (100%) Kapha (100%) Grove (100%) White Plant (25%) Green Plant (25%) Flora (25%),,"{ itemheal rand(325,405),0; }",,,,,,,,,
606,Aloevera,10,"A basic herbal emollient made from Aloe extract. Despite its stench and sour taste, it's addictive if regularly eaten.",Tri Joint (100%) Galapago (50%) Petite (7.5%) Petite (7.5%) Grove (5%) Mao Guai (5%),,"{ itemskill ""SM_SELFPROVOKE"",1; }",,,,,,,,,
4245,Am Mut Card,,Receive 10% more Experience Points from DemiHuman monsters. Receive 20% more damage from DemiHuman monster.,Am Mut (0.5%),,"{ bonus2 bSubRace,RC_DemiHuman,-20; bonus2 bExpAddRace,RC_DemiHuman,10; }",Footgear,,,,,,,,
30081,Am Mut Pokeball,0,A Pokeball in which an Am Mut Cute Pet rests. Can be hatched by using a Pet Incubator.,,,,,,,,,,,,
7534,Amatsu Completed Photo Album,0,An album with pictures taken in Amatsu. Stamped by the official seal of the Rune Midgard Tour Agency.,,,,,,,,,,,,
4032,Ambernite Card,,DEF + 2,Ambernite (0.5%),,"{ bonus bDef,2; }",Shield,,,,,,,,
30226,Ambernite Pokeball,0,A Pokeball in which an Ambernite Cute Pet rests. Can be hatched by using a Pet Incubator.,,,,,,,,,,,,
719,Amethyst,10,A purple jewel that is the birthstone for people born in February. [ eRO Event Quest Item ],Dragon Fly (100%) Gremlin (50%) Penomena (7.5%) Megalodon (5%) Argiope (5%) Sting (1.5%),,,,,,,,,,,
4236,Amon Ra Card,,All Stats + 1 Add a 3% chance of auto casting Level 10 Kyrie Eleison on the user when the user receives Physical Damage. [Base Intelligence >= 149] Add a chance of auto casting Level 10 Kyrie Eleison is increased to 10%. Points : 1 MVP Point,Amon Ra (0.5%),,"{ if(@mvpcount<6) { bonus bAllStats,1; bonus3 bAutoSpellWhenHit,""PR_KYRIE"",10,(30+70*(readparam(bInt)>=149)); } }",Footgear,,,,,,,,
609,Amulet,10,"A forbidden talisman that can reanimate the dead, resulting in a walking corpse or undead zombie.",Pumpkinring (100%) Yao Jun (50%) Necromancer (50%) Munak (10%) Bongun (7.5%),,"{ monster ""this"",-1,-1,""--ja--"",-6,1,""""; }",,,,,,,,,
4062,Anacondaq Card,,Increase damage on Poison Property enemies by 20%.,Anacondaq (0.5%),,"{ bonus2 bAddEle,Ele_Poison,20; }",Weapon,,,,,,,,
30190,Anacondaq Pokeball,0,A Pokeball in which an Anacondaq Cute Pet rests. Can be hatched by using a Pet Incubator.,,,,,,,,,,,,
2507,Ancient Cape,60,A fancy cape said to have once been worn by marquises long ago. AGI + 1,,,"{ bonus bAgi,1; }",,Garment,2,40,Yes,,,,
2525,Ancient Cape [1],60,A fancy cape said to have once been worn by marquises long ago. AGI + 1,Dracula (100%),,"{ bonus bAgi,1; }",,Garment,2,40,Yes,,,,
13062,Ancient Dagger,60,"A dagger used in ancient rituals, it feels as though it holds a mysterious power. MATK + 120, MaxSP + 100, SP Recovery Rate + 5%. When dealing physical or magical damage there's a low chance to receive the curse status.",,,"{ bonus bMaxSP,100; bonus bSPrecovRate,5; bonus bMatk,120; }",,Dagger,,1,Yes,"Mage, Merchant, Thief, Knight, Wizard, Assassin",107,Neutral,4
7959,Ancient Gold,1,...,,,,,,,,,,,,
7914,Ancient Language Document,0,An old letter which seems to have been written with heart by someone.,,,,,,,,,,,,
12381,Ancient Languages Scroll,0,A scroll written in an unknown language.,,,{  },,,,,,,,,
12382,Ancient Languages Scroll,0,A scroll written in an unknown language.,,,{  },,,,,,,,,
1054,Ancient Lips,1,A set of fat lips cut from a giant deep sea fish.,Piranha (100%) Merman (100%) Deviace (100%),,,,,,,,,,,
1573,Ancient Magic [2],70,"A book with a Very impressive phrase,'There is no royal road to learning,' on its cover. ""Practice makes perfect. If you keep trying, you'll be an expert before you know it."" MATK + 15% [+ Mage Coat] MDEF + 8, Maximum SP + 10%, INT + 4",Dark Lord (40%) Uzhas (2.5%),,"{ bonus bMatkRate,15; if (isequipped(2334) || isequipped(2372)) { bonus bMdef,8; bonus bMaxSPRate,10; bonus bInt,4; }; }",,Book,,70,Yes,,30,Neutral,3
4387,Ancient Mimic Card,,"Every 18 Base LUK, you gain 1 AGI.",Ancient Mimic (0.5%),,"{ bonus bAgi,readparam(bLuk)/18; }",Armor,,,,,,,,
4248,Ancient Mummy Card,,Add a 3% chance of auto casting Level 5 Signum Crucis when the user receives Physical Damage. [+ Mummy] Seeking Attack (which never miss its target) + 20,Ancient Mummy (0.5%),,"{ bonus3 bAutoSpellWhenHit,""AL_CRUCIS"",5,30; if(isequipped(4106)) bonus bPerfectHitAddRate,20; }",Shield,,,,,,,,
12735,Ancient Rune,10,A rune gemstone used in ancient times.,Rake Scaraba (1%) Antler Scaraba (1%),,"{ produce 5,18; }",,,,,,,,,
7960,Ancient Silver,1,...,,,,,,,,,,,,
1053,Ancient Tooth,1,"A sharp, serrated tooth pulled from the mouth of a giant deep sea fish.",Piranha (100%) Deviace (100%),,,,,,,,,,,
4249,Ancient Worm Card,,Receive 10% more Experience Points from Demon monsters. Receive 20% more damage from Demon monster.,Ancient Worm (0.5%),,"{ bonus2 bSubRace,RC_Demon,-20; bonus2 bExpAddRace,RC_Demon,10; }",Footgear,,,,,,,,
12333,Ancilla,3,A mystical crafted Gem. Using it restores 15% of your SP. Limit of 3 per character.,,,"{ if (Class == Job_Arch_Bishop || Class == Job_Arch_Bishop2) { percentheal 0,15; misceffect 253;} }",,,,,,,,,
4043,Andre Card,,ATK + 20,Piere (0.5%) Piere (0.5%) Deniro (0.5%) Deniro (0.5%) Andre (0.5%) Andre (0.5%),,"{ bonus bBaseAtk,20; }",Weapon,,,,,,,,
4013,Andre Egg Card,,Maximum HP + 5%,Ant Egg (0.5%) Ant Egg (0.5%),,"{ bonus bMaxHPrate,5; }",Shield,,,,,,,,
4018,Andre Larva Card,,INT + 1 Maximum SP + 10,,,"{ bonus bInt,1; bonus bMaxSP,10; }",Weapon,,,,,,,,
20762,Andre_Maw [1],10,"The maw of an Andre Ant, strong enough to bite through a Platinum Shield!",,,{  },,Lower Head,2,0,No,,,,
20763,Andre_Remains [1],10,The abdomin of an Andre Ant. Wear it to look freakishly mutated!,,,{  },,Lower Head,2,0,No,,,,
7834,Andvari's Ring,50,The ring of Andvary that has been protected by the dragon Pavvnir.,Skidbladnir Treasure (1%),,,,,,,,,,,
5207,Angel Blessing,10,A dazzling beautiful golden ring which is blessed by an angel. It is given to a great believer. Increases resistance to the Holy Property by 5%. LUK + 1,,,"{ bonus bLuk,1; bonus2 bSubEle,Ele_Holy,5; }",,Upper Head,0,0,No,,,,
5246,Angel Helm,0,"... AGI + 1, LUK + 1, MDEF + 3 Reduces damage from Demon monster by 3%.",,,"{ bonus bAgi,1; bonus bLuk,1; bonus bMdef,3; bonus2 bSubRace,RC_Demon,5; }",,Upper Head,3,0,No,,,,
5687,Angel Helm Light,10,...,,,{  },,Upper Head,1,1,Yes,,,,
12316,Angel Of Blessing,0,The angel's blessing be with you!,,,{  },,,,,,,,,
2254,Angel Wing,10,"A headband adorned with what appears to be the wings of an angel. It contains holiness that blesses the wearer's soul and offers protection from dark forces. Reduces damage from Demon monster by 3%. AGI + 1, LUK + 1, MDEF + 3",Angeling (75%) Arc Angeling (75%) Skeggiold (0.5%) Skeggiold (0.5%),,"{ bonus bMdef,3; bonus bAgi,1; bonus bLuk,1; bonus2 bSubRace,RC_Demon,3; }",,Upper Head,2,0,Yes,,,,
5074,Angel Wing Ears,10,"An ear accessory that looks just like white, beautiful angel wings. STR + 1",,,"{ bonus bStr,1; }",,Mid Head,1,70,No,,,,
20202,Angel Wing Ears [1],50,"An ear accessory that looks just like white, beautiful angel wings. All stats +1.",,,"{ bonus bAllStats,1; }",,Mid Head,0,75,No,,,,
20016,Angel Wings,50,"This heavenly pair of wings makes you look like an angel. 15% resistance to Ranged physical attacks, 15% resistance to Neutral damage and +5% Max HP.",,,"{ bonus2 bSubEle,Ele_Neutral,15; bonus bMaxHPrate,5; bonus bLongAtkDef,15; }",,Lower Head,1,75,No,,,,
2358,Angel's Dress,100,"A winged dress that is said to have been worn by an angel. It makes you feel very lucky when you wear it. LUK + 4 Impossible to refine this item. [Angeling Pin, Angel's Dress Equip Set]",Antonio (100%),,"{ bonus bLuk,4; }",,Armor,5,0,No,,,,
5125,Angel's Kiss [1],30,"A hair ornament that was kissed by the Super Novice's Guardian Angel. SP Recovery + 3% [Angelic Protection, Angel's Reincarnation, Angelic Guard, Angelic Cardigan & Angel's Kiss Equip Set]",Toad (100%),,"{ bonus bSPrecovRate,5; }",,Upper Head,3,50,Yes,,,,
2420,Angel's Reincarnation [1],30,"Heavenly sandals worn by the Guardian Angel of Super Novices. Maximum HP + 500 [Angelic Protection, Angel's Reincarnation, Angelic Guard, Angelic Cardigan & Angel's Kiss Equip Set]",Vocal (100%),,"{ bonus bMaxHP,500; }",,Footgear,2,25,Yes,,,,
2521,Angelic Cardigan [1],40,"Super Novice Guardian Angel's warm and comfortable cardigan. HP Recovery + 5% [Angelic Protection, Angel's Reincarnation, Angelic Guard, Angelic Cardigan & Angel's Kiss Equip Set]",Vagabond Wolf (100%),,"{ bonus bHPrecovRate,5; }",,Garment,2,20,Yes,,,,
2116,Angelic Guard [1],40,"Super Novice Guardian Angel's shield which contains holy power that can nullify evil. Reduce 5% damage from Demon monster. [Angelic Protection, Angel's Reincarnation, Angelic Guard, Angelic Cardigan & Angel's Kiss Equip Set]",Mastering (100%),,"{ bonus2 bSubRace,RC_Demon,5; }",,Shield,3,20,Yes,,,,
2355,Angelic Protection [1],60,"Super Novice Guardian Angel's robe. MDEF + 20 [+ Angelic Protection, Angel's Reincarnation, Angelic Guard, Angelic Cardigan & Angel's Kiss] Maximum HP + 1000, Maximum SP + 100 Add a 3% chance of auto casting Level 1 Assumptio on the user when the user receives Physical Damage.",Eclipse (100%) Tatacho (2.5%),,"{ bonus bMdef,20; if(isequipped(2116,2420,2521,5125)) { bonus bMaxHP,1000; bonus bMaxSP,100; bonus3 bAutoSpellWhenHit,""HP_ASSUMPTIO"",1,30; } }",,Armor,4,40,Yes,,,,
2743,Angelic Ring,10,"A ring that contains holy power. It responds to specific abilities and strengthens them. INT + 2, DEX + 1 When using Heal, Aid Potion, Sanctuary, there is a chance for 3 seconds that gives you the ability + 20% Heal more. MDEF + 2",Cornus (0.5%),,"{ bonus bInt,2; bonus bDex,1; bonus bMdef,2; autobonus3 ""{ bonus bHealPower,20; }"",50,3000,""AL_HEAL""; autobonus3 ""{ bonus bHealPower,20; }"",50,3000,""AM_POTIONPITCHER""; autobonus3 ""{ bonus bHealPower,20; }"",50,3000,""PR_SANCTUARY""; }",,Accessory,0,70,No,,,,
13005,Angelic Wing Dagger [4],60,Combo with [Super Novice Angelic Set] +120 ATK +10% ASPD,Banshee (2%),,"{ if(isequipped(2116,2420,2521,5125,2355)) { bonus bAspdRate,10; bonus bBaseAtk,120; } }",,Dagger,,50,Yes,,120,Neutral,4
4054,Angeling Card,,Blesses an Armor with the Holy Property. Points : 1 MVP Point,Angeling (0.5%),,"{ if(@mvpcount<6) { bonus bDefEle,Ele_Holy; } }",Armor,,,,,,,,
5153,Angeling Hairpin,70,"A hairpin shaped to look like an Angeling. Your body feels strangely light when you wear it. Flee Rate + 5 [+ Angel's Dress] INT + 2, LUK + 6, Flee Rate + 5",,,"{ bonus bFlee,5; if (isequipped(2358)) { bonus bLuk,6; bonus bFlee,5; bonus bInt,2; } }",,Upper Head,3,0,Yes,,,,
5132,Angeling Hat,70,"A hat, made especially to look like a certain monster that looks like an angel, but it hates the whole human race. Reduce damage taken from DemiHuman monster by 10%.",,,"{ bonus2 bSubRace,RC_DemiHuman,10; }",,Upper Head,2,0,No,,,,
20100,Angeling Hat [1],50,Angeling Hat. Increases damage on Holy monsters by 10%.,Angeling (10%),,"{ bonus2 bAddEle,Ele_Holy,10; }",,Upper Head,2,1,Yes,,,,
30002,Angeling Pokeball,0,A Pokeball in which an Angeling Cute Pet rests. Can be hatched by using a Pet Incubator.,,,,,,,,,,,,
12350,Angeling Potion,10,Add a chance of auto casting Level 5 Blessing & Level 5 Angelus on the wearer.,,,{  },,,,,,,,,
