Item ID	For Sale	Identifier	Credit Price	Name	Type	NPC Buy	Weight	NPC Sell	Attack	Range	Defense	Slots	Refineable	Equip Level	Weapon Level	Equip	Locations	Equip Upper	Equippable Jobs	Equip Gender	Item Use Script	Equip Script	Unequip Script	Image Path	Icon Path
12106	No	Accessory_Box	Not For Sale	Jewelry Box	Usable	"10,000"	20	0	0	0	0	0	No	0	0	None	Normal / Upper / Baby	All Jobs	Both (Male and Female)	"1 getitem groupranditem(IG_Accesory),1;"	None	None	https://web.archive.org/web/20150524035810im_/http://essence-ro.com/data/items/images/12106.png	https://web.archive.org/web/20150524035810im_/http://essence-ro.com/data/items/icons/12106.gif	
7136	Yes	Acid_Bottle	1	Acid Bottle	Etc	200	1	0	0	0	0	0	No	0	0	None	None	None	Unknown	None	None	None	https://web.archive.org/web/20150315052640im_/http://essence-ro.com/data/items/images/7136.png	https://web.archive.org/web/20150315052640im_/http://essence-ro.com/data/items/icons/7136.gif	
7129	No	Acid_Create_Book	Not For Sale	Acid Bottle Creation Guide	Etc	"100,000"	1	0	0	0	0	0	No	0	0	None	None	None	Unknown	None	None	None	https://web.archive.org/web/20150524024734im_/http://essence-ro.com/data/items/images/7129.png	https://web.archive.org/web/20150524024734im_/http://essence-ro.com/data/items/icons/7129.gif	
4379	No	Acidus__Card	Not For Sale	Blue Acidus Card	Card	20	1	0	0	0	0	0	No	0	0	Upper Headgear + Middle Headgear + Lower Headgear	None	None	Unknown	"1 if(getrefine()<=4) { bonus bSPrecovRate,5; bonus bMaxSP,80; } else { bonus bMaxSP,40; }"	None	None	https://web.archive.org/web/20150524035334im_/http://essence-ro.com/data/items/images/4379.png	https://web.archive.org/web/20150524035334im_/http://essence-ro.com/data/items/icons/4379.gif	
4378	No	Acidus_Card	Not For Sale	Gold Acidus Card	Card	20	1	0	0	0	0	0	No	0	0	Footgear	None	None	Unknown	"1 if(getrefine()<=4) { bonus bMaxHPrate,8; bonus bMaxSPrate,8; bonus bHPrecovRate,5; bonus bSPrecovRate,5; } else { bonus bMaxHPrate,4; bonus bMaxSPrate,4; }"	None	None	https://web.archive.org/web/20150524043248im_/http://essence-ro.com/data/items/images/4378.png	https://web.archive.org/web/20150524043248im_/http://essence-ro.com/data/items/icons/4378.gif	
2767	No	Acolyte_Figure	Not For Sale	Acolyte Figure	Armor	0	0	0	0	0	0	1	No	0	0	Accessory 1 + Accessory 2	Normal / Upper / Baby	All Jobs	Both (Male and Female)	"1 bonus bDex,2; if(BaseClass == Job_Acolyte) bonus bUseSPrate,-5;"	None	None	https://web.archive.org/web/20150524045323im_/http://essence-ro.com/data/items/images/2767.png	https://web.archive.org/web/20150524045323im_/http://essence-ro.com/data/items/icons/2767.gif	
1026	No	Acorn	Not For Sale	Acorn	Etc	98	1	0	0	0	0	0	No	0	0	None	None	None	Unknown	None	None	None	https://web.archive.org/web/20150525064942im_/http://essence-ro.com/data/items/images/1026.png	https://web.archive.org/web/20150525064942im_/http://essence-ro.com/data/items/icons/1026.gif	
23018	No	Adelinde_Rinslet_Card	Not For Sale	Adelinde Rinslet Card	Card	0	1	10	0	0	0	0	No	0	0	Accessory 1 + Accessory 2	None	None	Unknown	"1 skill ""RG_SNATCHER"",1;"	None	None	https://web.archive.org/web/20150524043554im_/http://essence-ro.com/data/items/images/23018.png	https://web.archive.org/web/20150524043554im_/http://essence-ro.com/data/items/icons/23018.gif	
12220	No	Adrenaline_Scroll	Not For Sale	LV5 Adrenaline Scroll	Usable	2	1	0	0	0	0	0	No	0	0	None	Normal / Upper / Baby	All Jobs	Both (Male and Female)	"1 if(isequipped(1301,1302,1303)) skilleffect ""BS_ADRENALINE"",0; sc_start SC_ADRENALINE,150000,5;"	None	None	https://web.archive.org/web/20150531063847im_/http://essence-ro.com/data/items/images/12220.png	https://web.archive.org/web/20150531063847im_/http://essence-ro.com/data/items/icons/12220.gif	
21005	No	Advanced_Forging_Manual	Not For Sale	Advanced Forging Manual	Etc	0	20	0	0	0	0	0	No	0	0	None	None	None	Unknown	None	None	None	https://web.archive.org/web/20150524025540im_/http://essence-ro.com/data/items/images/21005.png	https://web.archive.org/web/20150524025540im_/http://essence-ro.com/data/items/icons/21005.gif	
32010	Yes	Advanced_Lucky_Candy	1	Advanced Lucky Candy	Usable	50	10	0	0	0	0	0	No	0	0	None	Normal / Upper / Baby	All Jobs	Unknown	"1 sc_start SC_EXPBOOST,600000,25;"	None	None	https://web.archive.org/web/20150315054653im_/http://essence-ro.com/data/items/images/32010.png	https://web.archive.org/web/20150315054653im_/http://essence-ro.com/data/items/icons/32010.gif	
2305	No	Adventure_Suit	Not For Sale	Adventurer's Suit	Armor	"1,000"	30	0	0	0	3	0	Yes	0	0	Armor	Normal / Upper / Baby	All Jobs	Both (Male and Female)	None	None	None	https://web.archive.org/web/20150321195458im_/http://essence-ro.com/data/items/images/2305.png	https://web.archive.org/web/20150321195458im_/http://essence-ro.com/data/items/icons/2305.gif	
2306	No	Adventurere's_Suit_	Not For Sale	Adventurer's Suit	Armor	"1,000"	30	0	0	0	3	1	Yes	0	0	Armor	Normal / Upper / Baby	All Jobs	Both (Male and Female)	None	None	None	https://web.archive.org/web/20150531091141im_/http://essence-ro.com/data/items/images/2306.png	https://web.archive.org/web/20150531091141im_/http://essence-ro.com/data/items/icons/2306.gif	
5258	No	Afro_Wig	Not For Sale	Dokebi's Wig	Armor	20	10	0	0	0	0	1	Yes	10	0	Upper Headgear + Middle Headgear	Normal / Upper / Baby	All Jobs	Both (Male and Female)	"1 bonus3 bAutoSpellWhenHit,""NV_FIRSTAID"",1,30; bonus2 bSubEle,Ele_Neutral,1;"	None	None	https://web.archive.org/web/20150524031421im_/http://essence-ro.com/data/items/images/5258.png	https://web.archive.org/web/20150524031421im_/http://essence-ro.com/data/items/icons/5258.gif	
7291	No	Agate	Not For Sale	Agate	Etc	"3,000"	10	0	0	0	0	0	No	0	0	None	None	None	Unknown	None	None	None	https://web.archive.org/web/20150524035510im_/http://essence-ro.com/data/items/images/7291.png	https://web.archive.org/web/20150524035510im_/http://essence-ro.com/data/items/icons/7291.gif	
4409	No	Agav_Card	Not For Sale	Agav Card	Card	20	1	0	0	0	0	0	No	0	0	Armor	None	None	Unknown	"1 bonus bMatkRate,5; bonus bDef,-10; if (BaseClass == Job_Mage) bonus bMaxSP,100;"	None	None	https://web.archive.org/web/20150524043713im_/http://essence-ro.com/data/items/images/4409.png	https://web.archive.org/web/20150524043713im_/http://essence-ro.com/data/items/icons/4409.gif	
14561	No	Agi_Dish02_	Not For Sale	Smooth Noodle	Healing	2	1	0	0	0	0	0	No	0	0	None	Normal / Upper / Baby	All Jobs	Both (Male and Female)	"1 sc_start SC_AGIFOOD, 1200000, 2;"	None	None	https://web.archive.org/web/20150531031751im_/http://www.essence-ro.com/data/items/images/14561.png	https://web.archive.org/web/20150531031751im_/http://www.essence-ro.com/data/items/icons/14561.gif	
12059	No	Agi_Dish04	Not For Sale	Lutie Cold Noodle	Healing	"8,000"	40	0	0	0	0	0	No	0	0	None	Normal / Upper / Baby	All Jobs	Both (Male and Female)	"1 sc_start SC_AGIFOOD, 1200000, 4; percentheal 3,1;"	None	None	https://web.archive.org/web/20150524081643im_/http://essence-ro.com/data/items/images/12059.png	https://web.archive.org/web/20150524081643im_/http://essence-ro.com/data/items/icons/12059.gif	
12203	No	Agi_Dish10_	Not For Sale	Steamed Scorpion	Healing	2	1	0	0	0	0	0	No	0	0	None	Normal / Upper / Baby	All Jobs	Both (Male and Female)	"1 sc_start SC_AGIFOOD,1800000,10; percentheal 15,5;"	None	None	https://web.archive.org/web/20150531063036im_/http://essence-ro.com/data/items/images/12203.png	https://web.archive.org/web/20150531063036im_/http://essence-ro.com/data/items/icons/12203.gif	
1478	No	Ahlspiess	Not For Sale	Ahlspiess	Weapon - Two-Handed Spear	20	100	0	120	3	0	0	Yes	65	4	Main Hand + Off Hand	Normal / Upper / Baby	Knight / Crusader	Both (Male and Female)	"1 bonus bIgnoreDefRace,RC_NonBoss; bonus bIgnoreDefRace,RC_Boss; bonus2 bAddRace,RC_DemiHuman,10; bonus3 bAutoSpell,""KN_PIERCE"",5,30;"	None	None	https://web.archive.org/web/20150531091815im_/http://essence-ro.com/data/items/images/1478.png	https://web.archive.org/web/20150531091815im_/http://essence-ro.com/data/items/icons/1478.gif	
7320	No	Air_Pollutant	Not For Sale	Dust Pollutant	Etc	256	1	0	0	0	0	0	No	0	0	None	None	None	Unknown	None	None	None	https://web.archive.org/web/20150524043114im_/http://essence-ro.com/data/items/images/7320.png	https://web.archive.org/web/20150524043114im_/http://essence-ro.com/data/items/icons/7320.gif	
7092	No	Air_Stream	Not For Sale	Drifting Air	Etc	1	50	0	0	0	0	0	No	0	0	None	None	None	Unknown	None	None	None	https://web.archive.org/web/20150524044709im_/http://essence-ro.com/data/items/images/7092.png	https://web.archive.org/web/20150524044709im_/http://essence-ro.com/data/items/icons/7092.gif	
4244	No	Alarm_Card	Not For Sale	Alarm Card	Card	20	1	0	0	0	0	0	No	0	0	Footgear	None	None	Unknown	"1 bonus3 bAutoSpellWhenHit,""MG_SIGHT"",1,200; bonus bMaxHP,2500; bonus bVit,1;"	None	None	https://web.archive.org/web/20150324142851im_/http://essence-ro.com/data/items/images/4244.png	https://web.archive.org/web/20150324142851im_/http://essence-ro.com/data/items/icons/4244.gif	
5086	No	Alarm_Mask	Not For Sale	Alarm Mask	Armor	20	10	0	0	0	2	0	No	0	0	Middle Headgear + Lower Headgear	Normal / Upper / Baby	All Jobs Except Novice	Both (Male and Female)	"1 bonus2 bResEff,Eff_Blind,5000;"	None	None	https://web.archive.org/web/20150524044001im_/http://essence-ro.com/data/items/images/5086.png	https://web.archive.org/web/20150524044001im_/http://essence-ro.com/data/items/icons/5086.gif	
20257	No	Alarm_Mask_	Not For Sale	Alarm Mask	Armor	20	50	0	0	0	0	1	No	75	0	Middle Headgear	Normal / Upper / Baby	All Jobs	Both (Male and Female)	"1 bonus bAllStats,1;"	"1 callfunc ""invis"",2,0;"	None	https://web.archive.org/web/20150524043126im_/http://essence-ro.com/data/items/images/20257.png	https://web.archive.org/web/20150524043126im_/http://essence-ro.com/data/items/icons/20257.gif	
20563	No	Alchemy_Ring	Not For Sale	Alchemy Ring	Armor	20	50	0	0	0	1	1	No	75	0	Lower Headgear	Normal / Upper / Baby	All Jobs	Both (Male and Female)	"1 bonus2 bSkillHeal,""AM_POTIONPITCHER"",15;"	None	None	https://web.archive.org/web/20151105093235im_/http://essence-ro.com/data/items/images/20563.png	https://web.archive.org/web/20151105093235im_/http://essence-ro.com/data/items/icons/20563.gif	
970	No	Alchol	Not For Sale	Alcohol	Etc	400	3	0	0	0	0	0	No	0	0	None	None	None	Unknown	None	None	None	https://web.archive.org/web/20150524020834im_/http://essence-ro.com/data/items/images/970.png	https://web.archive.org/web/20150524020834im_/http://essence-ro.com/data/items/icons/970.gif	
7127	No	Alcol_Create_Book	Not For Sale	Alcohol Creation Guide	Etc	"100,000"	1	0	0	0	0	0	No	0	0	None	None	None	Unknown	None	None	None	https://web.archive.org/web/20150524032753im_/http://essence-ro.com/data/items/images/7127.png	https://web.archive.org/web/20150524032753im_/http://essence-ro.com/data/items/icons/7127.gif	
4253	No	Alice_Card	Not For Sale	Alice Card	Card	20	1	0	0	0	0	0	No	0	0	Off Hand	None	None	Unknown	"1 bonus2 bSubRace,RC_Boss,40; bonus2 bSubRace,RC_NonBoss,-40;"	None	None	https://web.archive.org/web/20150324144328im_/http://essence-ro.com/data/items/images/4253.png	https://web.archive.org/web/20150324144328im_/http://essence-ro.com/data/items/icons/4253.gif	
5137	No	Alice_Doll	Not For Sale	Alice Doll	Armor	20	50	0	0	0	0	1	No	30	0	Upper Headgear	Normal / Upper / Baby	All Jobs Except Novice	Both (Male and Female)	"1 bonus bStr,1; bonus2 bAddRace,RC_DemiHuman,10; bonus2 bAddEff2,Eff_Sleep,10;"	None	None	https://web.archive.org/web/20150524033819im_/http://essence-ro.com/data/items/images/5137.png	https://web.archive.org/web/20150524033819im_/http://essence-ro.com/data/items/icons/5137.gif	
4401	No	Alicel_Card	Not For Sale	Alicel Card	Card	20	1	0	0	0	0	0	No	0	0	Armor	None	None	Unknown	"1 bonus bFlee,10; bonus bDef,-5;"	None	None	https://web.archive.org/web/20150524043549im_/http://essence-ro.com/data/items/images/4401.png	https://web.archive.org/web/20150524043549im_/http://essence-ro.com/data/items/icons/4401.gif	
7047	No	Alice's_Apron	Not For Sale	Alice's Apron	Etc	"2,424"	1	0	0	0	0	0	No	0	0	None	None	None	Unknown	None	None	None	https://web.archive.org/web/20150524034926im_/http://essence-ro.com/data/items/images/7047.png	https://web.archive.org/web/20150524034926im_/http://essence-ro.com/data/items/icons/7047.gif	
4402	No	Aliot_Card	Not For Sale	Aliot Card	Card	20	1	0	0	0	0	0	No	0	0	Garment	None	None	Unknown	"1 if(BaseClass==Job_Swordman||BaseClass==Job_Merchant||BaseClass==Job_Thief||Class==Job_Taekwon||Class==Job_Star_Gladiator) { bonus bStr,2; bonus bMaxHPrate,5; } if(BaseClass==Job_Mage||BaseClass==Job_Archer||BaseClass==Job_Acolyte||Class==Job_Gunslinger||Class==Job_Soul_Linker||Class==Job_Ninja) { bonus bInt,2; bonus bMaxSPrate,5; } if (BaseJob==Job_SuperNovice) { if (readparam(bStr) > readparam(bInt)) { bonus bStr,2; bonus bMaxHPrate,5; } else { bonus bInt,2; bonus bMaxSPrate,5; } }"	None	None	https://web.archive.org/web/20150524034133im_/http://essence-ro.com/data/items/images/4402.png	https://web.archive.org/web/20150524034133im_/http://essence-ro.com/data/items/icons/4402.gif	
4400	No	Aliza_Card	Not For Sale	Aliza Card	Card	20	1	0	0	0	0	0	No	0	0	Armor	None	None	Unknown	"1 bonus3 bAutoSpellWhenHit,""DC_WINKCHARM"",1,50+50*(BaseJob == Job_Dancer);"	None	None	https://web.archive.org/web/20150524035112im_/http://essence-ro.com/data/items/images/4400.png	https://web.archive.org/web/20150524035112im_/http://essence-ro.com/data/items/icons/4400.gif	
20534	No	Aliza_Doll	Not For Sale	Aliza Doll	Armor	20	50	0	0	0	2	1	Yes	1	0	Upper Headgear	Normal / Upper / Baby	All Jobs	Both (Male and Female)	"1 bonus3 bAutoSpellWhenHit,""DC_WINKCHARM"",1,10;"	None	None	https://web.archive.org/web/20150524045136im_/http://essence-ro.com/data/items/images/20534.png	https://web.archive.org/web/20150524045136im_/http://essence-ro.com/data/items/icons/20534.gif	
4252	No	Alligator_Card	Not For Sale	Alligator Card	Card	20	1	0	0	0	0	0	No	0	0	Accessory 1 + Accessory 2	None	None	Unknown	"1 bonus bLongAtkDef,5;"	None	None	https://web.archive.org/web/20150324154907im_/http://essence-ro.com/data/items/images/4252.png	https://web.archive.org/web/20150324154907im_/http://essence-ro.com/data/items/icons/4252.gif	
704	No	Aloe	Not For Sale	Aloe	Etc	500	1	0	0	0	0	0	No	0	0	None	None	None	Unknown	None	None	None	https://web.archive.org/web/20150524025523im_/http://essence-ro.com/data/items/images/704.png	https://web.archive.org/web/20150524025523im_/http://essence-ro.com/data/items/icons/704.gif	
606	No	Aloebera	Not For Sale	Aloevera	Delay Consume	"1,500"	10	0	0	0	0	0	No	0	0	None	Normal / Upper / Baby	All Jobs	Both (Male and Female)	"1 itemskill ""SM_SELFPROVOKE"",1;"	None	None	https://web.archive.org/web/20150524031356im_/http://essence-ro.com/data/items/images/606.png	https://web.archive.org/web/20150524031356im_/http://essence-ro.com/data/items/icons/606.gif	
4245	No	Am_Mut_Card	Not For Sale	Am Mut Card	Card	20	1	0	0	0	0	0	No	0	0	Footgear	None	None	Unknown	"1 bonus2 bSubRace,RC_DemiHuman,-20; bonus2 bExpAddRace,RC_DemiHuman,10;"	None	None	https://web.archive.org/web/20150524045257im_/http://essence-ro.com/data/items/images/4245.png	https://web.archive.org/web/20150524045257im_/http://essence-ro.com/data/items/icons/4245.gif	
4032	No	Ambernite_Card	Not For Sale	Ambernite Card	Card	20	1	0	0	0	0	0	No	0	0	Off Hand	None	None	Unknown	"1 bonus bDef,2;"	None	None	https://web.archive.org/web/20150321143915im_/http://essence-ro.com/data/items/images/4032.png	https://web.archive.org/web/20150321143915im_/http://essence-ro.com/data/items/icons/4032.gif	
4236	No	Amon_Ra_Card	Not For Sale	Amon Ra Card	Card	20	1	0	0	0	0	0	No	0	0	Footgear	None	None	Unknown	"1 callfunc ""bMVP""; if(@mvpcount<6) { bonus bAllStats,1; bonus3 bAutoSpellWhenHit,""PR_KYRIE"",10,(30+70*(readparam(bInt)>=149)); }"	None	None	https://web.archive.org/web/20150531094504im_/http://essence-ro.com/data/items/images/4236.png	https://web.archive.org/web/20150531094504im_/http://essence-ro.com/data/items/icons/4236.gif	
609	No	Amulet	Not For Sale	Amulet	Usable	100	10	0	0	0	0	0	No	0	0	None	Normal / Upper / Baby	All Jobs	Both (Male and Female)	"1 monster ""this"",-1,-1,""--ja--"",-6,1,"""";"	None	None	https://web.archive.org/web/20150321163957im_/http://essence-ro.com/data/items/images/609.png	https://web.archive.org/web/20150321163957im_/http://essence-ro.com/data/items/icons/609.gif	
4062	No	Anacondaq_Card	Not For Sale	Anacondaq Card	Card	20	1	0	0	0	0	0	No	0	0	Main Hand	None	None	Unknown	"1 bonus2 bAddEle,Ele_Poison,20;"	None	None	https://web.archive.org/web/20150324142950im_/http://essence-ro.com/data/items/images/4062.png	https://web.archive.org/web/20150324142950im_/http://essence-ro.com/data/items/icons/4062.gif	
1573	No	Ancient_Magic	Not For Sale	Ancient Magic	Weapon - Book	20	70	0	30	1	0	2	Yes	70	3	Main Hand	Normal / Upper / Baby	Priest / Sage / Star Gladiator	Both (Male and Female)	"1 bonus bMatkRate,15; if (isequipped(2334) || isequipped(2372)) { bonus bMdef,8; bonus bMaxSPRate,10; bonus bInt,4; };"	None	None	https://web.archive.org/web/20150531101959im_/http://essence-ro.com/data/items/images/1573.png	https://web.archive.org/web/20150531101959im_/http://essence-ro.com/data/items/icons/1573.gif	
4387	No	Ancient_Mimic_Card	Not For Sale	Ancient Mimic Card	Card	20	1	0	0	0	0	0	No	0	0	Armor	None	None	Unknown	"1 bonus bAgi,readparam(bLuk)/18;"	None	None	https://web.archive.org/web/20150524041546im_/http://essence-ro.com/data/items/images/4387.png	https://web.archive.org/web/20150524041546im_/http://essence-ro.com/data/items/icons/4387.gif	
4248	No	Ancient_Mummy_Card	Not For Sale	Ancient Mummy Card	Card	20	1	0	0	0	0	0	No	0	0	Off Hand	None	None	Unknown	"1 bonus3 bAutoSpellWhenHit,""AL_CRUCIS"",5,30; if(isequipped(4106)) bonus bPerfectHitAddRate,20;"	None	None	https://web.archive.org/web/20150524041520im_/http://essence-ro.com/data/items/images/4248.png	https://web.archive.org/web/20150524041520im_/http://essence-ro.com/data/items/icons/4248.gif	
4249	No	Ancient_Worm_Card	Not For Sale	Ancient Worm Card	Card	20	1	0	0	0	0	0	No	0	0	Footgear	None	None	Unknown	"1 bonus2 bSubRace,RC_Demon,-20; bonus2 bExpAddRace,RC_Demon,10;"	None	None	https://web.archive.org/web/20150524040015im_/http://essence-ro.com/data/items/images/4249.png	https://web.archive.org/web/20150524040015im_/http://essence-ro.com/data/items/icons/4249.gif	
4043	No	Andre_Card	Not For Sale	Andre Card	Card	20	1	0	0	0	0	0	No	0	0	Main Hand	None	None	Unknown	"1 bonus bBaseAtk,20;"	None	None	https://web.archive.org/web/20150321142229im_/http://essence-ro.com/data/items/images/4043.png	https://web.archive.org/web/20150321142229im_/http://essence-ro.com/data/items/icons/4043.gif	
4013	No	Andre_Egg_Card	Not For Sale	Andre Egg Card	Card	20	1	0	0	0	0	0	No	0	0	Off Hand	None	None	Unknown	"1 bonus bMaxHPrate,5;"	None	None	https://web.archive.org/web/20150321150750im_/http://essence-ro.com/data/items/images/4013.png	https://web.archive.org/web/20150321150750im_/http://essence-ro.com/data/items/icons/4013.gif	
4018	No	Andre_Larva_Card	Not For Sale	Andre Larva Card	Card	20	1	0	0	0	0	0	No	0	0	Main Hand	None	None	Unknown	"1 bonus bInt,1; bonus bMaxSP,10;"	None	None	https://web.archive.org/web/20150524034424im_/http://essence-ro.com/data/items/images/4018.png	https://web.archive.org/web/20150524034424im_/http://essence-ro.com/data/items/icons/4018.gif	
20762	No	Andre_Maw	Not For Sale	Andre Maw	Armor	20	10	0	0	0	2	1	No	0	0	Lower Headgear	Normal / Upper / Baby	All Jobs	Both (Male and Female)	None	None	None	https://web.archive.org/web/20151105093242im_/http://essence-ro.com/data/items/images/20762.png	https://web.archive.org/web/20151105093242im_/http://essence-ro.com/data/items/icons/20762.gif	
20763	No	Andre_Remains	Not For Sale	Andre Remains	Armor	20	10	0	0	0	2	1	No	0	0	Middle Headgear	Normal / Upper / Baby	All Jobs	Both (Male and Female)	None	None	None	https://web.archive.org/web/20150531092704im_/http://essence-ro.com/data/items/images/20763.png	https://web.archive.org/web/20150531092704im_/http://essence-ro.com/data/items/icons/20763.gif	
5389	No	Angel_Spirit	Not For Sale	Mask Of Goddess	Armor	20	20	0	0	0	0	1	No	30	0	Middle Headgear	Normal / Upper / Baby	All Jobs	Both (Male and Female)	"1 bonus bStr,2; bonus bHit,15;"	"1 callfunc ""invis"",2,8;"	None	https://web.archive.org/web/20150524034711im_/http://essence-ro.com/data/items/images/5389.png	https://web.archive.org/web/20150524034711im_/http://essence-ro.com/data/items/icons/5389.gif	
20202	No	Angel_Wing_Ears_	Not For Sale	Angel Wing Ears	Armor	20	50	0	0	0	0	1	No	75	0	Middle Headgear	Normal / Upper / Baby	All Jobs	Both (Male and Female)	"1 bonus bAllStats,1;"	"1 callfunc ""invis"",2,0;"	None	https://web.archive.org/web/20150524021234im_/http://essence-ro.com/data/items/images/20202.png	https://web.archive.org/web/20150524021234im_/http://essence-ro.com/data/items/icons/20202.gif	
20016	No	Angel_Wings	Not For Sale	Angel Wings	Armor	20	50	0	0	0	1	0	No	75	0	Lower Headgear	Normal / Upper / Baby	All Jobs	Both (Male and Female)	"1 bonus2 bSubEle,Ele_Neutral,15; bonus bMaxHPrate,5; bonus bLongAtkDef,15;"	"1 callfunc ""invis"",3,0;"	None	https://web.archive.org/web/20150524042142im_/http://essence-ro.com/data/items/images/20016.png	https://web.archive.org/web/20150524042142im_/http://essence-ro.com/data/items/icons/20016.gif	
2254	No	Angelic_Chain	Not For Sale	Angel Wing	Armor	20	10	0	0	0	2	0	Yes	0	0	Upper Headgear	Normal / Upper / Baby	All Jobs Except Novice	Both (Male and Female)	"1 bonus bMdef,3; bonus bAgi,1; bonus bLuk,1; bonus2 bSubRace,RC_Demon,3;"	None	None	https://web.archive.org/web/20150524020532im_/http://essence-ro.com/data/items/images/2254.png	https://web.archive.org/web/20150524020532im_/http://essence-ro.com/data/items/icons/2254.gif	
5246	No	Angelic_Helm	Not For Sale	Angelic Helm	Armor	20	0	0	0	0	3	0	No	0	0	Upper Headgear	Normal / Upper / Baby	All Jobs	Both (Male and Female)	"1 bonus bAgi,1; bonus bLuk,1; bonus bMdef,3; bonus2 bSubRace,RC_Demon,5;"	None	None	https://web.archive.org/web/20150524034056im_/http://essence-ro.com/data/items/images/5246.png	https://web.archive.org/web/20150524034056im_/http://essence-ro.com/data/items/icons/5246.gif	
