ID	AegisName	Name	Type	Buy	Sell	Weight	ATK	DEF	Range	Slots	Job	Class	Gender	Loc	wLV	eLV[:maxLevel]	Refineable	View	{ Script }	{ OnEquip_Script }	{ OnUnequip_Script }
11007	Blood_Flower02	Blood Flower Vol.2	3	8000		10														{}	{}	{}
11008	Barmund	Biographical Dictionary Copy Edition	3	10000		10														{}	{}	{}
11009	Adventure_Story02	Adventure Story Vol.2	3	8000		10														{}	{}	{}
11010	Reward_List_Book	Battlegrounds Catalog	3	0		10														{}	{}	{}
11011	Barmund_Note	Varmunt's Note	3	0		0														{}	{}	{}
11012	Expedition_Report	Expedition Report	3	0		0														{}	{}	{}
11013	Expedition_Report_Vol1	Expedition Report Vol1	3	0		0														{}	{}	{}
11014	Expedition_Report_Vol2	Expedition Report Vol2	3	0		0														{}	{}	{}
11015	Expedition_Report_Vol3	Expedition Report Vol3	3	0		0														{}	{}	{}
11016	Expedition_Report_Vol4	Expedition Report Vol4	3	0		0														{}	{}	{}
11017	Reward_List_Book2	KVM Reward Items Catalog	3	0		10														{}	{}	{}
11018	Splendide_Selling_Item	Splendide Selling Item	3	0		10														{}	{}	{}
11019	Manuk_Selling_Item	Manuk Selling Item	3	0		10														{}	{}	{}
11020	Japan_Book1	Japan Book1	3	20		10														{}	{}	{}
11021	Japan_Book2	Japan Book2	3	20		10														{}	{}	{}
11022	Mix_Cook_Book	Mix Cook Book	3	10		10														{}	{}	{}
11023	Increase_Stamina_Study	Increase Stamina Study	3	10		50														{}	{}	{}
11024	Vital_Drink_CB	Vital Drink CB	3	10		50														{}	{}	{}
11025	Swordman_Book_Basic	Swordman Book Basic	3	20		10														{}	{}	{}
11026	Swordman_Book_Practice	Swordman Book Practice	3	20		10														{}	{}	{}
11027	Swrodman_Book_Misc	Swrodman Book Misc	3	20		10														{}	{}	{}
11028	Thief_Book_Basic	Thief Book Basic	3	20		10														{}	{}	{}
11029	Thief_Book_Practice	Thief Book Practice	3	20		10														{}	{}	{}
11030	Thief_Book_Misc	Thief Book Misc	3	20		10														{}	{}	{}
11031	Archer_Book_Basic	Archer Book Basic	3	20		10														{}	{}	{}
11032	Archer_Book_Practice	Archer Book Practice	3	20		10														{}	{}	{}
11033	Archer_Book_Misc	Archer Book Misc	3	20		10														{}	{}	{}
11034	Acol_Book_Basic	Acol Book Basic	3	20		10														{}	{}	{}
11035	Acol_Book_Practice	Acol Book Practice	3	20		10														{}	{}	{}
11036	Acol_Book_Misc	Acol Book Misc	3	20		10														{}	{}	{}
11037	Mage_Book_Basic	Mage Book Basic	3	20		10														{}	{}	{}
11038	Mage_Book_Practice	Mage Book Practice	3	20		10														{}	{}	{}
11039	Mage_Book_Misc	Mage Book Misc	3	20		10														{}	{}	{}
11040	Mer_Book_Basic	Mer Book Basic	3	20		10														{}	{}	{}
11041	Mer_Book_Practice	Mer Book Practice	3	20		10														{}	{}	{}
11042	Mer_Book_Misc	Mer Book Misc	3	20		10														{}	{}	{}
11043	TK_Book_Basic	TK Book Basic	3	20		10														{}	{}	{}
11044	TK_Book_Practice	TK Book Practice	3	20		10														{}	{}	{}
11045	TK_Book_Misc	TK Book Misc	3	20		10														{}	{}	{}
11046	Ninja_Book_Basic	Ninja Book Basic	3	20		10														{}	{}	{}
11047	Ninja_Book_Practice	Ninja Book Practice	3	20		10														{}	{}	{}
11048	Ninja_Book_Misc	Ninja Book Misc	3	20		10														{}	{}	{}
11049	Gun_Book_Basic	Gun Book Basic	3	20		10														{}	{}	{}
11050	Gun_Book_Practice	Gun Book Practice	3	20		10														{}	{}	{}
11051	Gun_Book_Misc	Gun Book Misc	3	20		10														{}	{}	{}
11052	SN_Book_Basic	SN Book Basic	3	20		10														{}	{}	{}
11053	SN_Book_Practice	SN Book Practice	3	20		10														{}	{}	{}
11054	SN_Book_Misc	SN Book Misc	3	20		10														{}	{}	{}
11055	Basic_Adventure	Basic Adventure	3	20		10														{}	{}	{}
11056	Elemental_Spirit_Guide	Elemental Spirit Guide	3	1000		10														{}	{}	{}
11500	Light_Yellow_Pot	Light Yellow Potion	0	550		10					0xFFFFFFFF	7	2							{ itemheal rand(175,235),0; }	{ itemheal rand(175,235),0; }	{ itemheal rand(175,235),0; }
11501	Light_White_Pot	Light White Potion	0	1200		10					0xFFFFFFFF	7	2							{ itemheal rand(325,405),0; }	{ itemheal rand(325,405),0; }	{ itemheal rand(325,405),0; }
11502	Light_Blue_Pot	Light Blue Potion	0	5000		10					0xFFFFFFFF	7	2							{ itemheal 0,rand(40,60); }	{ itemheal 0,rand(40,60); }	{ itemheal 0,rand(40,60); }
11503	Siege_White_Potion	WoE White Potion	0	0		100					0xFFFFFFFF	7	2							{ itemheal rand(400,500),0; }	{ itemheal rand(400,500),0; }	{ itemheal rand(400,500),0; }
11504	Siege_Blue_Potion	WoE Blue Potion	0	0		100					0xFFFFFFFF	7	2							{ itemheal 0,rand(50,70); }	{ itemheal 0,rand(50,70); }	{ itemheal 0,rand(50,70); }
11505	Iris	Iris	0	0		30					0xFFFFFFFF	7	2							{ itemheal 0,150; }	{ itemheal 0,150; }	{ itemheal 0,150; }
11506	Fanta_Orange	Fanta Orange	0	800		100					0xFFFFFFFF	7	2							{ itemheal rand(50,70),rand(10,12); }	{ itemheal rand(50,70),rand(10,12); }	{ itemheal rand(50,70),rand(10,12); }
11507	Fanta_Grape	Fanta Grape	0	800		100					0xFFFFFFFF	7	2							{ itemheal rand(50,70),rand(10,12); }	{ itemheal rand(50,70),rand(10,12); }	{ itemheal rand(50,70),rand(10,12); }
11508	Karada_Meguri_Tea	Karada Meguricha	0	800		100					0xFFFFFFFF	7	2							{ itemheal rand(50,70),rand(10,12); }	{ itemheal rand(50,70),rand(10,12); }	{ itemheal rand(50,70),rand(10,12); }
11509	Royal_Milk_Tea	Black Tea Kochakaden	0	800		100					0xFFFFFFFF	7	2							{ itemheal rand(50,70),rand(10,12); }	{ itemheal rand(50,70),rand(10,12); }	{ itemheal rand(50,70),rand(10,12); }
11510	Coke_Zero	Coca Cola Zero	0	800		100					0xFFFFFFFF	7	2							{ itemheal rand(50,70),rand(10,12); }	{ itemheal rand(50,70),rand(10,12); }	{ itemheal rand(50,70),rand(10,12); }
11511	Coke_No_Cal	Diet Coca Cola	0	800		100					0xFFFFFFFF	7	2							{ itemheal rand(50,70),rand(10,12); }	{ itemheal rand(50,70),rand(10,12); }	{ itemheal rand(50,70),rand(10,12); }
11512	Coca_Cola	Coca Cola	0	800		100					0xFFFFFFFF	7	2							{ itemheal rand(50,70),rand(10,12); }	{ itemheal rand(50,70),rand(10,12); }	{ itemheal rand(50,70),rand(10,12); }
11513	Protect_Neck_Candy	Protect Neck Candy	0	200		1					0xFFFFFFFF	7	2							{ itemheal rand(5,25),0; }	{ itemheal rand(5,25),0; }	{ itemheal rand(5,25),0; }
11514	Enriched_Slim_Pot	Enriched Slim Pot	0	0		50					0xFFFFFFFF	7	2							{ itemheal rand(335,415),0; }	{ itemheal rand(335,415),0; }	{ itemheal rand(335,415),0; }
11515	Coconut	Coconut	0	1500		120					0xFFFFFFFF	7	2							{ itemheal rand(300,400),0; }	{ itemheal rand(300,400),0; }	{ itemheal rand(300,400),0; }
11516	Asai_Fruit	Asai Fruit	0	15		20					0xFFFFFFFF	7	2							{ itemheal rand(16,22),0; }	{ itemheal rand(16,22),0; }	{ itemheal rand(16,22),0; }
11517	Puri_Potion	Puri Potion	0	20		100					0xFFFFFFFF	7	2							{ itemheal rand(400,600),0; }	{ itemheal rand(400,600),0; }	{ itemheal rand(400,600),0; }
11518	N_Blue_Potion	Blue Potion	0	0		50					0xFFFFFFFF	7	2							{ itemheal 0,5; }	{ itemheal 0,5; }	{ itemheal 0,5; }
11519	Beef_Toast	Beef Toast	0	650		40					0xFFFFFFFF	7	2							{ itemheal rand(170,250),0; }	{ itemheal rand(170,250),0; }	{ itemheal rand(170,250),0; }
11520	Mora_Mandarin	Mora Mandar	0	500		20					0xFFFFFFFF	7	2							{ itemheal 0,rand(50,80); }	{ itemheal 0,rand(50,80); }	{ itemheal 0,rand(50,80); }
11521	Pingui_Berry_Juice	Pingui Berry Juice	0	500		50					0xFFFFFFFF	7	2							{ itemheal rand(400,800),rand(50,80); }	{ itemheal rand(400,800),rand(50,80); }	{ itemheal rand(400,800),rand(50,80); }
11522	Red_Raffle_Sap	Red Raffle Sap	0	2000		100					0xFFFFFFFF	7	2							{ itemheal rand(400,800),0; }	{ itemheal rand(400,800),0; }	{ itemheal rand(400,800),0; }
11523	Yellow_Raffle_Sap	Yellow Raffle Sap	0	2400		120					0xFFFFFFFF	7	2							{ itemheal rand(600,1000),0; }	{ itemheal rand(600,1000),0; }	{ itemheal rand(600,1000),0; }
11524	White_Raffle_Sap	White Raffle Sap	0	2800		140					0xFFFFFFFF	7	2							{ itemheal rand(800,1200),0; }	{ itemheal rand(800,1200),0; }	{ itemheal rand(800,1200),0; }
11525	Mora_Hip_Tea	Mora HIp Tea	0	20		150					0xFFFFFFFF	7	2							{ itemheal rand(1500,2000),0; }	{ itemheal rand(1500,2000),0; }	{ itemheal rand(1500,2000),0; }
11526	Rafflecino	Rafflecino	0	20		100					0xFFFFFFFF	7	2							{ itemheal 0,rand(120,160); }	{ itemheal 0,rand(120,160); }	{ itemheal 0,rand(120,160); }
11527	Baklava	Baklava	0	3500		600					0xFFFFFFFF	7	2							{ itemheal 1200,440; }	{ itemheal 1200,440; }	{ itemheal 1200,440; }
11528	Kanafeh	Kanafeh	0	1500		200					0xFFFFFFFF	7	2							{ itemheal 300,240; }	{ itemheal 300,240; }	{ itemheal 300,240; }
11529	MAAMOUL_	Maamoul	0	500		100					0xFFFFFFFF	7	2							{ itemheal 120,60; }	{ itemheal 120,60; }	{ itemheal 120,60; }
11530	Jujube	Jujube	0	10		100					0xFFFFFFFF	7	2							{ itemheal 30,0; }	{ itemheal 30,0; }	{ itemheal 30,0; }
11531	Coffee	Coffee	0	10		100					0xFFFFFFFF	7	2							{ itemheal 0,10; }	{ itemheal 0,10; }	{ itemheal 0,10; }
11531	Coffee	Coffee	0	10		100					0xFFFFFFFF	63	2							{ itemheal 0,10; }	{ itemheal 0,10; }	{ itemheal 0,10; }
11532	Nasi_Goreng	Nasi Goreng	0	15		20					0xFFFFFFFF	63	2							{ itemheal rand(17,23),0; }	{ itemheal rand(17,23),0; }	{ itemheal rand(17,23),0; }
11533	Satay	Satay	0	15		20					0xFFFFFFFF	63	2							{ itemheal rand(17,23),0; }	{ itemheal rand(17,23),0; }	{ itemheal rand(17,23),0; }
11534	Coco_Juice	Coconut Juice	0	20		50					0xFFFFFFFF	63	2							{ itemheal rand(17,23),0; }	{ itemheal rand(17,23),0; }	{ itemheal rand(17,23),0; }
11535	Almond_Chocolate	Almond Chocolate	0	190		200					0xFFFFFFFF	63	2							{ itemheal 0,rand(8,16); }	{ itemheal 0,rand(8,16); }	{ itemheal 0,rand(8,16); }
11536	Cat_Hard_Biscuit	Cat Biscuit	0	0		10					0xFFFFFFFF	63	2							{ itemheal rand(70,110),0; callfunc "F_Cat_Hard_Biscuit"; }	{ itemheal rand(70,110),0; callfunc "F_Cat_Hard_Biscuit"; }	{ itemheal rand(70,110),0; callfunc "F_Cat_Hard_Biscuit"; }
11537	Rice_weevil_Bug	Rice Weevil Bug	0	0		10					0xFFFFFFFF	63	2							{ itemheal rand(100,150),0; callfunc "F_Rice_Weevil_Bug"; }	{ itemheal rand(100,150),0; callfunc "F_Rice_Weevil_Bug"; }	{ itemheal rand(100,150),0; callfunc "F_Rice_Weevil_Bug"; }
11538	Octupus_Leg	Fresh Octopus Legs	0	20		30					0xFFFFFFFF	63	2							{ itemheal rand(35,60),rand(5,10); }	{ itemheal rand(35,60),rand(5,10); }	{ itemheal rand(35,60),rand(5,10); }
11539	Athale_Choco	Athale Choco	0	1		80					0xFFFFFFFF	63	2							{ itemheal 50,50; }	{ itemheal 50,50; }	{ itemheal 50,50; }
11540	Shyai_Choco	Shyai Choco	0	1		80					0xFFFFFFFF	63	2							{ itemheal 50,50; }	{ itemheal 50,50; }	{ itemheal 50,50; }
11541	Mid_Choco	Mid Choco	0	1		80					0xFFFFFFFF	63	2							{ itemheal 50,50; }	{ itemheal 50,50; }	{ itemheal 50,50; }
11542	Zonda_Choco	Zonda Choco	0	1		80					0xFFFFFFFF	63	2							{ itemheal 50,50; }	{ itemheal 50,50; }	{ itemheal 50,50; }
11543	Goedo_Choco	Goedo Choco	0	1		80					0xFFFFFFFF	63	2							{ itemheal 50,50; }	{ itemheal 50,50; }	{ itemheal 50,50; }
11544	Huike_Choco	Huike Choco	0	1		80					0xFFFFFFFF	63	2							{ itemheal 50,50; }	{ itemheal 50,50; }	{ itemheal 50,50; }
11545	Rune_Choco	Rune Choco	0	1		80					0xFFFFFFFF	63	2							{ itemheal 50,50; }	{ itemheal 50,50; }	{ itemheal 50,50; }
11546	Pope_Choco	Pope Choco	0	1		80					0xFFFFFFFF	63	2							{ itemheal 50,50; }	{ itemheal 50,50; }	{ itemheal 50,50; }
11547	Woe_Violet_Potion	Siege Purple Potion	0	0		120					0xFFFFFFFF	63	2							{ itemheal rand(500,700),rand(60,85); }	{ itemheal rand(500,700),rand(60,85); }	{ itemheal rand(500,700),rand(60,85); }
11548	Woe_White_Potion	Siege White Potion	0	0		80					0xFFFFFFFF	63	2							{ percentheal 10,0; }	{ percentheal 10,0; }	{ percentheal 10,0; }
11549	Woe_Blue_Potion	Siege Blue Potion	0	0		80					0xFFFFFFFF	63	2							{ percentheal 0,10; }	{ percentheal 0,10; }	{ percentheal 0,10; }
11550	Pumpkin_Cake	Pumpkin Cake	0	10		80					0xFFFFFFFF	63	2							{ percentheal 5,5; }	{ percentheal 5,5; }	{ percentheal 5,5; }
11551	Savory_Herb_Salad	Savory Herb Salad	0	0		10					0xFFFFFFFF	63	2							{ itemheal rand(20,30),0; sc_start SC_STRFOOD,180000,1; }	{ itemheal rand(20,30),0; sc_start SC_STRFOOD,180000,1; }	{ itemheal rand(20,30),0; sc_start SC_STRFOOD,180000,1; }
11552	Apple_Carrot_Salad	Apple Carrot Salad	0	0		10					0xFFFFFFFF	63	2							{ itemheal rand(20,30),0; sc_start SC_AGIFOOD,180000,1; }	{ itemheal rand(20,30),0; sc_start SC_AGIFOOD,180000,1; }	{ itemheal rand(20,30),0; sc_start SC_AGIFOOD,180000,1; }
11553	Casual_Stew	Casual Stew	0	0		10					0xFFFFFFFF	63	2							{ itemheal rand(20,30),0; sc_start SC_VITFOOD,180000,1; }	{ itemheal rand(20,30),0; sc_start SC_VITFOOD,180000,1; }	{ itemheal rand(20,30),0; sc_start SC_VITFOOD,180000,1; }
11554	Golden_Roasted_Apple	Golden Roasted Apple	0	0		10					0xFFFFFFFF	63	2							{ itemheal rand(20,30),0; sc_start SC_DEXFOOD,180000,1; }	{ itemheal rand(20,30),0; sc_start SC_DEXFOOD,180000,1; }	{ itemheal rand(20,30),0; sc_start SC_DEXFOOD,180000,1; }
11555	Red_Potion_RG	Red Potion RG	0	0		40				0	0xFFFFFFFF	63	2							{ itemheal 325,0; }	{ itemheal 325,0; }	{ itemheal 325,0; }
11557	TE_White_Potion	TE White Potion	0	200		300					0xFFFFFFFF	63	2							{ itemheal 325,0; }	{ itemheal 325,0; }	{ itemheal 325,0; }
11558	TE_White_Slim_Potion	TE White Slim Potion	0	275		100					0xFFFFFFFF	63	2							{ itemheal 325,0; }	{ itemheal 325,0; }	{ itemheal 325,0; }
11563	Hot_Tee	Hot Tea	2	10		20				0	0xFFFFFFFF	63	2							{ itemheal 0,100; }	{ itemheal 0,100; }	{ itemheal 0,100; }
11564	Sweet_Canape	Sweet Canape	2	10		20				0	0xFFFFFFFF	63	2							{ itemheal 1000,0; }	{ itemheal 1000,0; }	{ itemheal 1000,0; }
11565	White_Potion_B	White Potion	0	10		150				0	0xFFFFFFFF	63	2							{ itemheal rand(325,405),0; }	{ itemheal rand(325,405),0; }	{ itemheal rand(325,405),0; }
11566	Yellow_Potion_	Yellow Potion	0	10		130				0	0xFFFFFFFF	63	2							{ itemheal rand(175,235),0; }	{ itemheal rand(175,235),0; }	{ itemheal rand(175,235),0; }
11567	Novice_Potion_B	Novice Potion	0	10		0				0	0xFFFFFFFF	63	2							{ itemheal rand(44,66),0; }	{ itemheal rand(44,66),0; }	{ itemheal rand(44,66),0; }
11568	Red_Slim_Potion_B	Red Slim Potion	0	10		20				0	0xFFFFFFFF	63	2							{ itemheal rand(45,65),0; }	{ itemheal rand(45,65),0; }	{ itemheal rand(45,65),0; }
11569	Orange_Potion_	Orange Potion	0	10		100				0	0xFFFFFFFF	63	2							{ itemheal rand(105,145),0; }	{ itemheal rand(105,145),0; }	{ itemheal rand(105,145),0; }
11570	Red_Potion_	Red Potion	0	10		70				0	0xFFFFFFFF	63	2							{ itemheal rand(45,65),0; }	{ itemheal rand(45,65),0; }	{ itemheal rand(45,65),0; }
11571	Green_Potion_	Green Potion	0	10		70				0	0xFFFFFFFF	63	2							{ sc_end SC_POISON; sc_end SC_SILENCE; sc_end SC_BLIND; sc_end SC_CONFUSION; }	{ sc_end SC_POISON; sc_end SC_SILENCE; sc_end SC_BLIND; sc_end SC_CONFUSION; }	{ sc_end SC_POISON; sc_end SC_SILENCE; sc_end SC_BLIND; sc_end SC_CONFUSION; }
11572	Blue_Potion_B	Blue Potion	0	10		150				0	0xFFFFFFFF	63	2							{ itemheal 0,rand(40,60); }	{ itemheal 0,rand(40,60); }	{ itemheal 0,rand(40,60); }
11573	White_Slim_Potion_B	White Slim Potion	0	10		50				0	0xFFFFFFFF	63	2							{ itemheal rand(325,405),0; }	{ itemheal rand(325,405),0; }	{ itemheal rand(325,405),0; }
11574	Yellow_Slim_Potion_	Yellow Slim Potion	0	10		30				0	0xFFFFFFFF	63	2							{ itemheal rand(175,235),0; }	{ itemheal rand(175,235),0; }	{ itemheal rand(175,235),0; }
11575	Lucky_Cookie_B	Lucky Cookie	3	10		30														{}	{}	{}
11576	Lucky_Candy_Cane_B	Lucky Lollipop	3	10		30														{}	{}	{}
11577	Rice_Ball_B	Rice Ball	0	10		30				0	0xFFFFFFFF	63	2							{ itemheal 200,0; }	{ itemheal 200,0; }	{ itemheal 200,0; }
11578	Candy_Striper_B	Candy Bar	0	10		40				0	0xFFFFFFFF	63	2							{ itemheal rand(105,145),0; }	{ itemheal rand(105,145),0; }	{ itemheal rand(105,145),0; }
11579	Lucky_Candy_B	Lucky Candy	3	10		30														{}	{}	{}
11580	Candy_B	Candy	0	10		30				0	0xFFFFFFFF	63	2							{ itemheal rand(45,65),0; }	{ itemheal rand(45,65),0; }	{ itemheal rand(45,65),0; }
11581	Piece_Of_Cake_B	Piece of Cake	0	10		100				0	0xFFFFFFFF	63	2							{ itemheal rand(270,330),0; }	{ itemheal rand(270,330),0; }	{ itemheal rand(270,330),0; }
11582	Well_Baked_Cookie_B	Well-baked Cookie	0	10		30				0	0xFFFFFFFF	63	2							{ itemheal rand(160,200),0; }	{ itemheal rand(160,200),0; }	{ itemheal rand(160,200),0; }
11583	Chocolate_Drink_B	Chocolate Drink	0	10		150				0	0xFFFFFFFF	63	2							{ itemheal rand(330,410),rand(45,65); sc_end SC_POISON; sc_end SC_SILENCE; sc_end SC_BLIND; sc_end SC_CONFUSION; sc_end SC_CURSE; sc_end SC_Hallucination; }	{ itemheal rand(330,410),rand(45,65); sc_end SC_POISON; sc_end SC_SILENCE; sc_end SC_BLIND; sc_end SC_CONFUSION; sc_end SC_CURSE; sc_end SC_Hallucination; }	{ itemheal rand(330,410),rand(45,65); sc_end SC_POISON; sc_end SC_SILENCE; sc_end SC_BLIND; sc_end SC_CONFUSION; sc_end SC_CURSE; sc_end SC_Hallucination; }
11584	White_Chocolate_B	White Chocolate	0	10		80				0	0xFFFFFFFF	63	2							{ itemheal 50,50; }	{ itemheal 50,50; }	{ itemheal 50,50; }
11585	HandMade_Chocolate_B	Hand-made Chocolate	0	10		80				0	0xFFFFFFFF	63	2							{ itemheal 50,50; }	{ itemheal 50,50; }	{ itemheal 50,50; }
11586	HandMade_Chocolate_B_	Hand-made White Chocolate	0	10		80				0	0xFFFFFFFF	63	2							{ itemheal 50,50; }	{ itemheal 50,50; }	{ itemheal 50,50; }
11587	Chocolate_B	Chocolate	0	10		20				0	0xFFFFFFFF	63	2							{ itemheal 1,1; }	{ itemheal 1,1; }	{ itemheal 1,1; }
11588	Fresh_Strawberries	Fresh Strawberries	0	10		10				0	0xFFFFFFFF	63	2							{ itemheal rand(32,56),rand(16,28); }	{ itemheal rand(32,56),rand(16,28); }	{ itemheal rand(32,56),rand(16,28); }
11589	Iceflake	Cold Snow Cone	0	20		50					0xFFFFFFFF	63	2							{ percentheal 5,5; }	{ percentheal 5,5; }	{ percentheal 5,5; }
11590	Meat_Skewer5	Skewer No.5	0	5000		300					0xFFFFFFFF	63	2							{ itemheal rand(760,810),10; }	{ itemheal rand(760,810),10; }	{ itemheal rand(760,810),10; }
11592	Trance_Candy_R	Trans Candy Red	0	20		30					0xFFFFFFFF	63	2							{ itemheal 45,0; transform 1507,600000,SC_MTF_MHP,1000; }	{ itemheal 45,0; transform 1507,600000,SC_MTF_MHP,1000; }	{ itemheal 45,0; transform 1507,600000,SC_MTF_MHP,1000; }
11593	Trance_Candy_B	Trans Candy Blue	0	20		30					0xFFFFFFFF	63	2							{ itemheal 45,0; transform 1102,600000,SC_MTF_MSP,100; }	{ itemheal 45,0; transform 1102,600000,SC_MTF_MSP,100; }	{ itemheal 45,0; transform 1102,600000,SC_MTF_MSP,100; }
11594	Trance_Candy_Y	Trans Candy Yellow	0	20		30					0xFFFFFFFF	63	2							{ itemheal 45,0; transform 1130,600000,SC_MTF_PUMPKIN,2000; }	{ itemheal 45,0; transform 1130,600000,SC_MTF_PUMPKIN,2000; }	{ itemheal 45,0; transform 1130,600000,SC_MTF_PUMPKIN,2000; }
11595	Trance_Candy_G	Trans Candy Green	0	20		30					0xFFFFFFFF	63	2							{ itemheal 45,0; transform 1508,600000,SC_MTF_HITFLEE,10,20; }	{ itemheal 45,0; transform 1508,600000,SC_MTF_HITFLEE,10,20; }	{ itemheal 45,0; transform 1508,600000,SC_MTF_HITFLEE,10,20; }
11596	Blood_In_Skull	Blood In Skull	0	20		50					0xFFFFFFFF	63	2							{ itemheal rand(600,800),0; }	{ itemheal rand(600,800),0; }	{ itemheal rand(600,800),0; }
11597	Iron_Bug	Iron Worm	0	10		10				0	0xFFFFFFFF	63	2							{}	{}	{}
11598	Bitter_Cacao_Bean	Bitter Cacao Bean	0	10		0				0	0xFFFFFFFF	63	2							{}	{}	{}
11599	Superstar_Potion	Superstar Potion	0	10		10				0	0xFFFFFFFF	63	2							{}	{}	{}
11600	Shining_Holy_Water	Shining Holy Water	0	10		15				0	0xFFFFFFFF	63	2							{ if(strcharinfo(3)=="prt_q") { bonus_script "{ bonus2 bSubSize,Size_All,10; }",600; sc_end SC_SILENCE; sc_end SC_POISON; sc_end SC_CURSE; heal 1000,0; } }	{ if(strcharinfo(3)=="prt_q") { bonus_script "{ bonus2 bSubSize,Size_All,10; }",600; sc_end SC_SILENCE; sc_end SC_POISON; sc_end SC_CURSE; heal 1000,0; } }	{ if(strcharinfo(3)=="prt_q") { bonus_script "{ bonus2 bSubSize,Size_All,10; }",600; sc_end SC_SILENCE; sc_end SC_POISON; sc_end SC_CURSE; heal 1000,0; } }
11602	Catnip_Fruit	Catnip Fruit	0	15		1					0xFFFFFFFF	63	2							{ itemheal rand(10,40),0; }	{ itemheal rand(10,40),0; }	{ itemheal rand(10,40),0; }
11601	Delicious_Anchovy	Delicious Anchovy	0	20		30					0xFFFFFFFF	63	2							{ itemheal rand(30,46),0; }	{ itemheal rand(30,46),0; }	{ itemheal rand(30,46),0; }
11605	Cookies_Bat	Cookie Bat	0	0		50					0xFFFFFFFF	63	2							{ itemheal rand(50,100),0; /*TODO*/ }	{ itemheal rand(50,100),0; /*TODO*/ }	{ itemheal rand(50,100),0; /*TODO*/ }
11701	Girl_Bunch_Of_Flower	Girl's Bouquet	0	20		50					0xFFFFFFFF	7	2							{ itemheal rand(105,145),0; }	{ itemheal rand(105,145),0; }	{ itemheal rand(105,145),0; }
11702	Moon_Cookie	Moon Cookie	0	0		300					0xFFFFFFFF	7	2							{}	{}	{}
