item key	item_id	item_name
bluebandana_green	45072	bluebandana green
bluebandana_pink	45073	bluebandana pink
bluebandana_purple	45074	bluebandana purple
bluebandana_red	45075	bluebandana red
bluebandana_white	45076	bluebandana white
bluebandana_yellow	45077	bluebandana yellow
bluebwings	45078	Blue Butterfly Wings
blueflame	45079	blueflame
bluehairband	45080	bluehairband
BlueNeckTie	45081	BlueNeckTie
bluequiz	45082	bluequiz
bluesantahat	45083	bluesantahat
bluetailedribbon	45084	bluetailedribbon
bluevalkyriehelm	45085	bluevalkyriehelm
bomb_poring_hat	45086	Bomb Poring Hat
brahat	45087	brahat
brazilflaghat	45088	brazilflaghat
brown_winter	45089	brown winter
brown_wm	45090	brown wm
browndevilingwings	45091	browndevilingwings
brownhelmofdarkness	45092	brownhelmofdarkness
BrownNeckTie	45093	BrownNeckTie
browntailedribbon	45094	browntailedribbon
brownvalkyriehelm	45095	brownvalkyriehelm
btnbar_left3	45096	btnbar left3
btnbar_mid3	45097	btnbar mid3
btnbar_right3	45098	btnbar right3
bubblegum_blue	45099	bubblegum blue
bubblegum_green	45100	bubblegum green
bubblegum_pink	45101	bubblegum pink
buckle_cap	45102	buckle cap
BuckTeeth	45103	BuckTeeth
bullet_earth	45104	bullet earth
bullet_fire	45105	bullet fire
bullet_holy	45106	bullet holy
bullet_poison	45107	bullet poison
bullet_shadow	45108	bullet shadow
bullet_water	45109	bullet water
bullet_wind	45110	bullet wind
bunnyhat	45111	bunnyhat
butterflypin	45112	butterflypin
camouflagehat	45113	camouflagehat
candyr	45114	candyr
carmen	45115	carmen
casing_earth	45116	casing_earth
casing_fire	45117	casing fire
casing_holy	45118	casing holy
casing_poison	45119	casing poison
casing_shadow	45120	casing shadow
casing_water	45121	casing water
casing_wind	45122	casing wind
catoninetailscap	45123	catoninetailscap
cheshirecat	45124	cheshirecat
chocohat	45125	chocohat
christmas_star	45126	christmas star
christmas_toys	45127	christmas toys
christmasbulb	45128	christmasbulb
christmascheshire	45129	christmascheshire
christmastreehat	45130	christmastreehat
ClockKey	45131	ClockKey
cookiering	45132	cookiering
COOLglasses	45133	COOLglasses
corpsebranch	45134	corpsebranch
cowringhat	45136	Cowring Hat
credit	45137	eRO Donation Credit
creepypumpkin	45138	creepypumpkin
crossballcap	45139	crossballcap
cruiser	45140	cruiser
cupcake	45141	cupcake
cupidwing	45142	cupidwing
cutedisguise	45143	cutedisguise
dayring	45144	dayring
DeityMask	45145	DeityMask
deportedoll	45146	deportedoll
deviling_rucksack	45147	deviling rucksack
devilingpartyhat	45148	devilingpartyhat
devilingwings	45149	devilingwings
deviruchiwings	45150	deviruchiwings
diadem	45151	diadem
disguisegiftbox	45152	disguisegiftbox
doghat	45153	doghat
dowry	45154	dowry
dragon_hat	45155	dragon hat
dragoon_wings	45158	dragoon wings
drooping_amistr	45159	drooping amistr
drooping_deleter	45160	drooping deleter
drooping_leaf_cat	45161	drooping leaf cat
drooping_mokona	45162	drooping mokona
drooping_mulder	45163	drooping mulder
drooping_paradox	45164	drooping paradox
drooping_wild_rose	45165	drooping wild rose
droopingbabyleopard	45166	droopingbabyleopard
droopingceb	45167	droopingceb
droopingeddga	45168	droopingeddga
droopingeike	45169	droopingeike
droopinggazel	45170	droopinggazel
droopinghidden	45171	droopinghidden
droopingmaya	45172	droopingmaya
droopingmoonlight	45173	droopingmoonlight
droopingneko	45174	droopingneko
droopingsaproling	45175	droopingsaproling
droopingtira	45176	droopingtira
droopingvide	45177	droopingvide
droopingwindii	45178	droopingwindii
DunceHat	45179	DunceHat
ears	45180	ears
eil	45181	eil
electricbulb	45182	electricbulb
emptyeyesocket	45183	emptyeyesocket
enchanced_shackles	45184	enchanced shackles
exodus	45185	exodus
fairy2	45186	fairy2
fairyegg	45187	fairyegg
fairywings	45188	fairywings
falcon	45189	falcon
featherberet_black	45190	featherberet black
featherberet_brown	45191	featherberet brown
featherberet_green	45192	featherberet green
featherberet_pink	45193	featherberet pink
featherberet_purple	45194	featherberet purple
featherberet_white	45195	featherberet white
featherberet_yellow	45196	featherberet yellow
FeatherMask	45197	FeatherMask
FemaleSmithPack	45198	FemaleSmithPack
FemaleSuperNovicePack	45199	FemaleSuperNovicePack
fghost	45200	fghost
filir	45201	filir
finalsac_hat	45202	finalsac hat
fisherman	45203	fisherman
fishrod	45204	fishrod
floppybunny	45205	floppybunny
flowerchoker	45206	flowerchoker
flowerearrings	45207	flowerearrings
flowerribbons	45208	flowerribbons
flowerring	45209	flowerring
flyingangeling	45210	flyingangeling
freya	45211	freya
frogdoll	45212	frogdoll
froghood	45213	froghood
frozenwings	45214	frozenwings
furmantle	45215	furmantle
gangsterscarf_black	45216	gangsterscarf black
gangsterscarf_blue	45217	gangsterscarf blue
gangsterscarf_brown	45218	gangsterscarf brown
gangsterscarf_green	45219	gangsterscarf green
gangsterscarf_pink	45220	gangsterscarf pink
gangsterscarf_purple	45221	gangsterscarf purple
gangsterscarf_white	45222	gangsterscarf white
gangsterscarf_yellow	45223	gangsterscarf yellow
gembracelet	45224	gembracelet
gemnecklace	45225	gemnecklace
ghostringcap	45226	ghostringcap
GigaPuddi	45227	GigaPuddi
gilded_armor	45228	Gilded Armor
gilded_boots	45229	Gilded Boots
gilded_buckler	45230	Gilded Buckler
gilded_spaulders	45231	Gilded Spaulders
glaricedoll	45232	glaricedoll
GMAria	45233	GMAria
GMCier	45234	GMCier
GMFaustus	45235	GMFaustus
GMOkale	45236	GMOkale
GMPraetor	45237	GMPraetor
GMYami	45238	GMYami
goathorns	45239	goathorns
godhelm	45240	godhelm
goldcup	45241	goldcup
goldenwing	45242	goldenwing
GoldPoringNecklace	45243	GoldPoringNecklace
green_winter	45244	green winter
green_wm	45245	green wm
greenbwings	45246	greenbwings
greenhelmofdarkness	45247	greenhelmofdarkness
greennaturewings	45248	greennaturewings
GreenNeckTie	45249	GreenNeckTie
greenquiz	45250	greenquiz
greensantahat	45251	greensantahat
greentailedribbon	45252	greentailedribbon
greenvalkyriehelm	45253	greenvalkyriehelm
GrouchoMarxGlasses	45254	GrouchoMarxGlasses
gryphon_item	45255	gryphon item
gryphonhat	45256	gryphonhat
gucci	45257	gucci
gypsydiadem	45258	gypsydiadem
gypsytiara	45259	gypsytiara
halloweenbox	45261	halloweenbox
haneribbon	45262	haneribbon
hangingdoll	45263	hangingdoll
heartearrings	45264	heartearrings
hearthat	45265	hearthat
heartphones	45266	heartphones
heartr	45267	heartr
heartscarf	45268	heartscarf
heartwing	45269	heartwing
heimask	45270	heimask
Hein	45271	Hein
Helicap	45272	Helicap
hellomother	45273	hellomother
hermes	45274	hermes
hockeymask	45275	hockeymask
hollypin	45276	hollypin
hollyring	45277	hollyring
holywing	45278	holywing
hoodofshadows	45279	hoodofshadows
hunny	45280	hunny
huntercap_blue	45281	huntercap blue
hyegunhat	45282	hyegunhat
hyzo	45283	hyzo
icewolf	45285	icewolf
imgay	45286	imgay
incubus_doll	45287	incubus doll
incubuswings	45288	incubuswings
irishhat	45289	irishhat
kamenriderhelm	45290	kamenriderhelm
kanapr	45291	kanapr
kanaug	45292	kanaug
kandec	45293	kandec
kanfeb	45294	kanfeb
kanjan	45295	kanjan
kanjul	45296	kanjul
kanjun	45297	kanjun
kanmar	45298	kanmar
kanmay	45299	kanmay
kannov	45300	kannov
kanoct	45301	kanoct
kansep	45302	kansep
kawaiiribbon_black	45303	kawaiiribbon black
kawaiiribbon_blue	45304	kawaiiribbon blue
kawaiiribbon_brown	45305	kawaiiribbon brown
kawaiiribbon_green	45306	kawaiiribbon green
kawaiiribbon_pink	45307	kawaiiribbon pink
kawaiiribbon_purple	45308	kawaiiribbon purple
kawaiiribbon_white	45309	kawaiiribbon white
kawaiiribbon_yellow	45310	kawaiiribbon yellow
kerchief	45311	kerchief
kids_letter	45312	kids letter
kielcloth	45313	kielcloth
kikki	45314	kikki
kobold	45315	kobold
lala	45316	lala
largehibiscus	45317	largehibiscus
Laydoll	45318	Laydoll
lea	45319	lea
leaftiara	45320	Leaf Tiara
leopardhat	45321	leopardhat
lightblue_wm	45322	lightblue wm
lilypad	45323	lilypad
linkhat	45324	linkhat
littleangeldoll	45325	littleangeldoll
locket	45326	locket
lolikitty	45327	lolikitty
love	45328	Love eRO
loveletter	45329	loveletter
luigicap	45330	luigicap
magiceyes_black	45331	magiceyes black
magiceyes_blue	45332	magiceyes blue
magiceyes_brown	45333	magiceyes brown
magiceyes_green	45334	magiceyes green
magiceyes_pink	45335	magiceyes pink
magiceyes_red	45336	magiceyes red
magiceyes_white	45337	magiceyes white
magiceyes_yellow	45338	magiceyes yellow
maidribbon	45339	maidribbon
MajorasMask	45340	MajorasMask
MaleSmithPack	45341	MaleSmithPack
MaleSuperNovicePack	45342	MaleSuperNovicePack
marina	45343	marina
marinr	45344	marinr
mariocap	45345	mariocap
metalingpartyhat	45346	metalingpartyhat
minidragon	45347	minidragon
miniholywings	45348	miniholywings
mousehat	45349	mousehat
mushroomkingdomcrown	45350	mushroomkingdomcrown
musicring	45351	musicring
mvpdisguise	45352	mvpdisguise
mystcase_hat	45353	mystcase hat
nekocookie	45354	nekocookie
nidoranears	45355	nidoranears
nidoranhorn	45356	nidoranhorn
nightring	45357	nightring
norastark	45358	norastark
observer	45359	observer
oxhat	45360	oxhat
pancakestack	45361	pancakestack
pandaears	45362	Panda Ears
pantiehat	45363	pantiehat
pb	45364	pb
pecoear	45365	pecoear
pecowing	45366	pecowing
PhallicMonsterHeadfashion	45367	PhallicMonsterHeadfashion
phoenixwing	45368	phoenixwing
phree	45369	phree
piamette	45370	piamette
pighat	45371	pighat
pimpcap	45373	pimpcap
pinkbwings	45374	pinkbwings
pinkhat	45375	pinkhat
pinkhelmofdarkness	45376	pinkhelmofdarkness
PinkNeckTie	45377	PinkNeckTie
piratedagger	45378	piratedagger
pixiewings	45379	pixiewings
pokeball	45380	pokeball
porenve	45381	porenve
poringearring	45382	poringearring
poringpartyhat	45383	poringpartyhat
poringr	45384	poringr
PoringRucksack	45385	PoringRucksack
praetor	45386	praetor
prizephoto	45387	prizephoto
purple_shades	45388	purple shades
purple_wm	45389	purple wm
purplebwings	45390	purplebwings
purplehat	45391	purplehat
purplehelmofdarkness	45392	purplehelmofdarkness
PurpleNeckTie	45393	PurpleNeckTie
purplesantahat	45394	purplesantahat
purpletailedribbon	45395	purpletailedribbon
quiver_black	45396	quiver black
quiver_blue	45397	quiver blue
quiver_brown	45398	quiver brown
quiver_green	45399	quiver green
quiver_grey	45400	quiver grey
quiver_holy	45401	quiver holy
quiver_purple	45402	quiver purple
quiver_red	45403	quiver red
rarecandy	45404	rarecandy
randgris	45405	randgris
rbrooch	45406	rbrooch
red_robe	45407	red robe
red_winter	45408	red winter
redbonnet_black	45409	redbonnet black
redbonnet_blue	45410	redbonnet blue
redbonnet_brown	45411	redbonnet brown
redbonnet_green	45412	redbonnet green
redbonnet_pink	45413	redbonnet pink
redbonnet_purple	45414	redbonnet purple
redbonnet_white	45415	redbonnet white
redbonnet_yellow	45416	redbonnet yellow
redbwings	45417	redbwings
Redead	45418	Redead
redhelmofdarkness	45419	redhelmofdarkness
RedNeckTie	45420	RedNeckTie
redquiz	45421	redquiz
redridinghood	45422	redridinghood
redvalkyriehelm	45423	redvalkyriehelm
refined_bsb	45424	refined bsb
reindeerhat	45425	reindeerhat
ribbonwiz	45426	ribbonwiz
roboeye	45427	roboeye
roboheadphones	45428	roboheadphones
roboheadset	45429	roboheadset
romanticflower_blue	45430	romanticflower blue
romanticflower_purple	45431	romanticflower purple
romanticflower_red	45432	romanticflower red
rose	45433	rose
rosecrown	45434	rosecrown
rosering	45435	rosering
roughwind_hairpin	45436	roughwind hairpin
saphireearrings	45437	saphireearrings
safariball	45438	safariball
sapling_hat	45439	Sapling Hat
sarasalandkingdomcrown	45440	sarasalandkingdomcrown
seasonal_token	45441	seasonal token
setantascarf	45442	setantascarf
shedinja_halo	45443	shedinja halo
shedinja_mask	45444	shedinja mask
shedinja_wings	45445	shedinja wings
shinobi	45446	shinobi
skollfang	45447	skollfang
skullmask	45448	skullmask
skwipe	45449	skwipe
Smitten	45450	Smitten
snowballfite	45451	snowballfite
snowcap	45452	Snow Cap
snowflake	45453	Snowflake Ring
sorindoll	45454	sorindoll
spookedeyes	45455	spookedeyes
spookydisguise	45456	spookydisguise
spraypaint	45457	spraypaint
SquattingDrops	45458	SquattingDrops
SquattingMarin	45459	SquattingMarin
SquattingPoporing	45460	SquattingPoporing
stache	45461	stache
starearring	45462	starearring
starryring	45463	starryring
startiara	45464	startiara
stellarhairband	45465	stellarhairband
succubus_doll	45466	succubus doll
succubuswings	45467	succubuswings
sukecap	45468	sukecap
superscope	45469	superscope
tailringdoll	45470	tailringdoll
takara	45471	takara
teddybearears	45472	teddybearears
TenguMask	45473	TenguMask
tiamatwings	45474	tiamatwings
tigerears	45475	tigerears
tiracup	45476	tiracup
titanwing	45477	titanwing
tonystark	45478	tonystark
turtle	45479	turtle
twinbunnies	45480	twinbunnies
twinclover	45481	twinclover
TwinSwords	45482	TwinSwords
umad	45483	umad
umbrellahat	45484	umbrellahat
unitedcap	45485	unitedcap
v2crossballcap	45486	v2crossballcap
valentinesribbonhat	45487	valentinesribbonhat
valkfrag	45488	valkfrag
valkyriewings	45489	valkyriewings
vhaidra	45490	vhaidra
victoryheadband	45491	victoryheadband
vinitdoll	45492	vinitdoll
visor	45493	visor
vote_post	45494	vote post
WaxLips	45495	WaxLips
wdoll	45496	wdoll
white_robe	45497	white robe
white_winter	45498	white winter
white_wm	45499	white wm
whiteberet	45500	whiteberet
whitehat	45501	whitehat
whitehelmofdarkness	45502	whitehelmofdarkness
WhiteNeckTie	45503	WhiteNeckTie
whitetailedribbon	45504	whitetailedribbon
whitevalkyriehelm	45505	whitevalkyriehelm
whysoserious	45506	whysoserious
wings	45507	wings
WizardBeard	45508	Wizard Beard
wooperhat	45509	wooperhat
worm	45510	worm
wyrd	45511	wyrd
xack	45512	xack
yellow_winter	45513	yellow winter
yellow_wm	45514	yellow wm
yellowbwings	45515	yellowbwings
yellowhelmofdarkness	45516	yellowhelmofdarkness
YellowNeckTie	45517	YellowNeckTie
yellowquiz	45518	yellowquiz
yellowtailedribbon	45519	yellowtailedribbon
yosh	45520	yosh
Minigame_Token	46500	Minigame Token
Valkyrie_Fragment	46500	Valkyrie Fragment
Event_Token	46500	Event Token
ALICEL	51101	Alicel
ALIOT	51102	Aliot
ALIZA	51103	Aliza
ALLIGATOR	51104	Alligator
AMBERNITE	51105	Ambernite
ANACONDAQ	51106	Anacondaq
ANGELING	51107	Angeling
ANOLIAN	51108	Anolian
ANOPHELES	51109	Anopheles
AQUA_ELEMENTAL	51110	Aqua Elemental
ARCHANGELING	51111	Arc Angeling
ARMAIA	51112	Armeyer Dinze
ASSULTER	51113	Assaulter
ASTER	51114	Aster
BABY_LEOPARD	51115	Baby Leopard
BANSHEE	51116	Banshee
BEHOLDER	51117	Beholder
BIGFOOT	51118	Bigfoot
BOILED_RICE	51119	Boiled Rice
BOMBPORING	51120	Bomb Poring
BREEZE	51121	Breeze
BRILIGHT	51122	Brilight
BYORGUE	51123	Byorgue
CARAT	51124	Carat
CENTIPEDE_LARVA	51125	Centipide
CHEPET	51126	Chepet
CHOCO	51127	Choco
COOKIE_XMAS	51128	Christmas Cookie
CRAB	51129	Crab
CRAMP	51130	Cramp
CREAMY	51131	Creamy
CRUISER	51132	Cruiser
CURUPIRA	51133	Curupira
DANCING_DRAGON	51134	Dancing Dragon
DELETER	51135	Deleter
DESERT_WOLF	51136	Desert Wolf
DIMIK	51137	Dimik
DIMIK_1	51138	Dimik
DIMIK_2	51139	Dimik
DIMIK_3	51140	Dimik
DIMIK_4	51141	Dimik
DISGUISE	51142	Disguise
DRACO	51143	Draco
DRAINLIAR	51144	Drainliar
DRYAD	51145	Dryad
ECLIPSE	51146	Eclipse
EGGYRA	51147	Eggyra
EREND	51148	Errende Ebecee
EXECUTIONER	51149	Executioner
EXPLOSION	51150	Explosion
FARMILIAR	51151	Familiar
FERUS	51152	Ferus
FERUS_	51153	Green Ferus
FLAME_SKULL	51154	Flame Skull
FRUS	51155	Frus
FUR_SEAL	51156	Fur Seal
GALAPAGO	51157	Galapago
GALION	51158	Galion
GAZETI	51159	Gazeti
GEMINI	51160	Gemini-S58
GHOSTRING	51161	Ghostring
GOAT	51162	Goat
GRAND_PECO	51163	Grand Peco
GREEN_IGUANA	51164	Green Iguana
GREMLIN	51165	Gremlin
HARPY	51166	Harpy
HEADLESS_MULE	51167	Headless Mule
HEATER	51168	Heater
HELL_POODLE	51169	Hell Poodle
HILL_WIND	51170	Hill Windsper
HILL_WIND_1	51171	Hill Wind
HILLSRION	51172	Hills Lions
HODE	51173	Hode
HODREMLIN	51174	Hodremlin
HORN_SCARABA	51175	One-Horned Scaraba
HORN_SCARABA2	51176	Two-Horned Scaraba
HORNET	51177	Hornet
HYDRA	51178	Hydra
HYEGUN	51179	Hyegun
HYLOZOIST	51180	Hylozoist
IARA	51181	Iara
ICEICLE	51182	Iceicle
INJUSTICE	51183	Injustice
IRON_FIST	51184	Iron Fist
ISILLA	51185	Isilla
JAGUAR	51186	Jaguar
KAHO	51187	Kaho
KAPHA	51188	Kapha
KARAKASA	51189	Karakasa
KAVAC	51190	Kavach Icarus
KIND_OF_BEETLE	51191	Beetle King
KNOCKER	51192	Knocker
KOBOLD_1	51193	Kobold
KOBOLD_ARCHER	51194	Kobold Archer
KOBOLD_LEADER	51195	Kobold Leader
KRABEN	51196	Kraben
LES	51197	Lesavka
LI_ME_MANG_RYANG	51198	Li Me Mang Ryang
LUDE	51199	Lude
MAGMARING	51200	Magmaring
MAGNOLIA	51201	Magnolia
MAJORUROS	51202	Majoruros
MANDRAGORA	51203	Mandragora
MARC	51204	Marc
MARIN	51205	Marin
MARINE_SPHERE	51206	Marine Sphere
MARTIN	51207	Martin
MASTERING	51208	Mastering
MATYR	51209	Matyr
MEGALODON	51210	Megalodon
METALING	51211	Metaling
METALLER	51212	Metaller
MIME_MONKEY	51213	Mime Monkey
MIMIC	51214	Mimic
MINERAL	51215	Mineral
MINI_DEMON	51216	Mini Demon
MOBSTER	51217	Mobster
MOLE	51218	Holden
MUMMY	51219	Mummy
MYSTCASE	51220	Myst Case
MYSTELTAINN	51221	Mysteltainn
NEPENTHES	51222	Nepenthes
NINE_TAIL	51223	Nine Tails
NOVUS	51224	Novus
NOVUS_	51225	Novus
NOXIOUS	51226	Noxious
OBEAUNE	51227	Obeaune
OBSERVATION	51228	Observation
ORC_BABY	51229	Orc Baby
ORC_LADY	51230	Orc Lady
OWL_BARON	51231	Owl Baron
OWL_DUKE	51232	Owl Duke
PARASITE	51233	Parasite
PERMETER	51234	Permeter
PHENDARK	51235	Phendark
PIAMETTE	51236	Piamette
PINGUICULA	51237	Pinguicula
PINGUICULA_D	51238	Darl Pinguicula
PIRANHA	51239	Piranha
PITMAN	51240	Pitman
POISON_TOAD	51241	Poison Toad
PORCELLIO	51242	Porcellio
PORING_	51243	Santa Poring
POURING	51244	Pouring
PUNK	51245	Punk
PUPA	51246	Pupa
QUVE	51247	Quve
RAFFLESIA	51248	Rafflesia
RAGGLER	51249	Raggler
RAWREL	51250	Laurell Weinder
RAYDRIC	51251	Raydric
RAYDRIC_ARCHER	51252	Raydric Archer
RETRIBUTION	51253	Retribution
RICE_CAKE_BOY	51254	Dumpling Child
RODA_FROG	51255	Roda Frog
ROWEEN	51256	Roween
SASQUATCH	51257	Sasquatch
SEE_OTTER	51258	Sea Otter
SEEKER	51259	Seeker
SHELTER	51260	Shelter
SIDE_WINDER	51261	Side Winder
SIROMA	51262	Siroma
SKEGGIOLD	51263	Skeggiold
SKEGGIOLD_	51264	Skeggiold
SKEL_PRISONER	51265	Skeleton Prisoner
SKOGUL	51266	Skogul
SNAKE	51267	Snake
SNOWIER	51268	Snowier
SOCCER_BALL	51269	Soccer Ball
SOLACE	51270	Solace
SOLIDER	51271	Solider
SPRING_RABBIT	51272	Spring Rabbit
STAPO	51273	Stapo
TAROU	51274	Tarou
THA_DESPERO	51275	Thanatos Despero
THA_DOLOR	51276	Thanatos Dolor
THA_MAERO	51277	Thanatos Maero
THA_ODIUM	51278	Thanatos Odium
THARA_FROG	51279	Thara Frog
THE_PAPER	51280	The Paper
TIRFING	51281	Tirfing
TOUCAN	51282	Toucan
TRI_JOINT	51283	Tri Joint
UNGOLIANT	51284	Ungoliant
VADON	51285	Vadon
VANBERK	51286	Vanberk
VENATU	51287	Venatu
VENATU_1	51288	Venatu
VENATU_2	51289	Venatu
VENATU_3	51290	Venatu
VENATU_4	51291	Venatu
VENOMOUS	51292	Venomous
VERIT	51293	Verit
WILD_GINSENG	51294	Hermit Plant
WILD_ROSE	51295	Wild Rose
WIND_GHOST	51296	Wind Ghost
WOLF	51297	Wolf
WOOD_GOBLIN	51298	Wood Goblin
YGNIZEM	51299	Egnigem Cenia
ZIPPER_BEAR	51300	Zipper Bear
ZOMBIE	51301	Zombie
ZOMBIE_PRISONER	51302	Zombie Prisoner
ATROCE	51303	Atroce
DOPPELGANGER	51304	Doppelganger
DRAKE	51305	Drake
EDDGA	51306	Eddga
GLOOMUNDERNIGHT	51307	Gloom Under Night
GOLDEN_BUG	51308	Golden Thief Bug
IFRIT	51309	Ifrit
MISTRESS	51310	Mistress
MOONLIGHT	51311	Moonlight Flower
OSIRIS	51312	Osiris
PHARAOH	51313	Pharaoh
KNIGHT_OF_WINDSTORM	51314	Stormy Knight
TAO_GUNKA	51315	Tao Gunka
TURTLE_GENERAL	51316	Turtle General
RANDGRIS	51317	Valkyrie Randgris
AM_MUT	51318	Am Mut
CAT_O_NINE_TAIL	51319	Cat o Nine Tails
SHECIL	51320	Cecil Damon
DEVIACE	51321	Deviace
EREMES	51322	Eremes Guile
GIANT_HONET	51323	Giant Hornet
HARWORD	51324	Howard Alt-Eisen
JAKK	51325	Jakk
KATRINN	51326	Kathryne Keyron
MAGALETA	51327	Margaretha Solin
MAVKA	51328	Mavka
SEYREN	51329	Seyren Windsor
SKELETON_GENERAL	51330	Skeleton General
TEDDY_BEAR	51331	Teddy Bear
TENGU	51332	Tengu
ZOMBIE_MASTER	51333	Zombie Master
ANTONIO	51334	Antonio
JAKK_XMAS	51335	Christmas Jakk
GARDEN_KEEPER	51336	Garden Keeper
GARDEN_WATCHER	51337	Garden Watcher
CRYSTAL_2	51338	Earth Crystal
CRYSTAL_3	51339	Fire Crystal
GOLDEN_SAVAGE	51340	Golden Savage
CRYSTAL_4	51341	Water Crystal
CRYSTAL_1	51342	Wind Crystal
